layer,name,channelId,follower,peak_45d,avg_45d,hours_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct,is_general_game,exclude_reason,peak_rank,avg_rank,vs_rank,point
A,엘리,475313e6c26639d5763628313b4c130e,59243,6050,943.4,227.2,214330.2,1.59,3.6178,15.59,virtual_only,,31,32,36,33.4
A,뇨롱이,c65ca7335aaeb2ca0c985078223017c0,68931,2713,933.7,231.3,215956.7,1.35,3.1329,34.42,virtual_only,,60,33,34,38.8
A,이오몽,d2fb83a5db130bf4d273c981b82ca41f,82859,3885,930.6,127.8,118933.3,1.12,1.4354,23.95,virtual_only,,44,34,61,46.8
A,하시요 HaSiyo,b33c957eac9335d38e4043c3dca97675,36642,3058,929.2,272.3,253032.6,2.54,6.9055,30.39,virtual_only,,54,35,30,36.8
A,에리스,17d8605fc37fb5ef49f5f67ae786fe4e,48831,6123,927.6,146.9,136260.5,1.9,2.7905,15.15,virtual_only,,30,36,50,40.4
A,류시호 RyuSiho,f36320c432d9f06095ce2cfbbf681c26,48073,3561,877.3,304.2,266881.9,1.82,5.5516,24.64,virtual_only,,48,37,28,35.6
A,고차비,93fe884808459fb4e4a3c7d64f0eef03,94496,2078,868.6,437.7,380196.0,0.92,4.0234,41.8,virtual_only,,66,38,19,36.0
A,모카형,affa78deac0b23d2046b8ed4856c1e62,80622,1982,866.1,327.5,283638.4,1.07,3.5181,43.7,virtual_only,,70,39,26,40.0
A,쿠온 레이 Planeta,59aa824e4c4a56dd51e7a5e2e9172648,11491,6495,864.1,154.4,133415.3,7.52,11.6104,13.3,virtual_only,,25,40,51,41.4
A,모라라,6bd0bb97d31365e7834d8113bb01d889,58842,3189,800.5,398.1,318687.9,1.36,5.416,25.1,virtual_only,,52,41,24,36.4
A,이초홍,ed21d36a44d1956520189a784afc27ed,98562,3526,734.7,162.7,119539.9,0.75,1.2128,20.84,virtual_only,,49,42,60,50.6
A,치치 Planeta,d5e2e0c14dcca4c4b10c7c9633022f52,10406,4292,728.8,149.3,108806.4,7.0,10.4561,16.98,virtual_only,,41,43,65,51.4
A,늦잠,e9ff6a0d42f604ac57fcd53f1c3b9bc0,48438,1389,710.1,86.8,61636.3,1.47,1.2725,51.12,virtual_only,,90,44,93,72.8
A,금사향,5f800579267362c952f76f3c6fe695b2,98482,1840,682.2,214.4,146254.6,0.69,1.4851,37.08,virtual_only,,73,45,43,49.8
A,양아지,3e825479d71ead63b76de0d6f6b5dc83,128905,3249,667.3,206.1,137534.6,0.52,1.0669,20.54,virtual_only,,51,46,49,48.2
A,티뭉,26253bf7ed6b95832c40f4f43f6d049d,30667,2716,654.1,115.0,75220.8,2.13,2.4528,24.08,virtual_only,,59,47,80,62.6
A,부쿠키,f2fd35b4bce38e375cd77b6a6904b4a4,69708,1726,642.1,181.8,116741.3,0.92,1.6747,37.2,virtual_only,,78,48,62,59.6
A,칸데르니아,bee4b42475b5937226b8b7ccbe2eb2dc,24953,1554,624.6,414.5,258900.3,2.5,10.3755,40.19,virtual_only,,87,49,29,48.6
A,오화요 Ohwayo,65a53076fe1a39636082dd6dba8b8a4b,44269,4742,618.3,226.6,140116.8,1.4,3.1651,13.04,virtual_only,,36,50,47,46.0
C,만디 2,5e4ef081ec96bdca5a4989554864bb05,29615,659,149.1,118.1,17607.6,0.5,0.5946,22.63,virtual_only,,151,156,248,191.8
C,ㅎㄹㄹㅎㄹㄹ,733ac918d624f6034f8786efc318e433,5434,392,148.5,214.3,31816.8,2.73,5.8551,37.88,virtual_only,,225,157,161,172.2
C,콩 주,58c857c619dbc62110f025c382265abe,6256,1019,146.3,319.2,46695.1,2.34,7.4641,14.36,virtual_only,,108,158,113,130.0
C,요아케노 나나시,e500ce8da6637e4b7ee255709ddb3ffe,12513,480,144.7,110.7,16014.5,1.16,1.2798,30.15,virtual_only,,188,159,271,209.6
C,낡은창고 oldstore,f5feedab25060a675ed62f3348e625cf,11936,606,141.2,348.5,49209.9,1.18,4.1228,23.3,virtual_only,,161,161,106,139.0
C,희 지,0d7600fc87a6a8621d5149d12da58ef8,11753,370,140.4,182.2,25585.8,1.19,2.177,37.95,virtual_only,,237,163,186,187.0
C,뭉냥이,24c568cc7d041b079a3ed7c735c2eab0,10945,794,140.4,151.1,21218.0,1.28,1.9386,17.68,virtual_only,,134,164,210,176.4
C,레뮤 LeMyu,5a63308e001dd3b2b4b8410e3933bff5,2606,829,140.1,136.1,19065.3,5.38,7.3159,16.9,virtual_only,,127,165,231,183.8
C,HeavyRainy,aef0c98592271de9ec4906eca2987e05,34138,416,137.6,285.2,39257.0,0.4,1.15,33.08,virtual_only,,214,167,125,159.6
C,날먹키코,2275b35a6c555959fb4a61e18a818a59,16414,269,136.7,144.4,19744.7,0.83,1.2029,50.82,virtual_only,,319,168,222,219.8
C,청목 Chungmok,42344dd53d4c5dc33e962c8913f6adc3,5792,376,136.2,213.7,29099.1,2.35,5.024,36.22,virtual_only,,234,169,168,181.6
C,김하루ㅡ,897a1ed91293eb9517b4620c07879153,8060,422,134.1,127.0,17029.6,1.66,2.1129,31.78,virtual_only,,209,170,255,211.8
C,이 리 온,63368ec9081dc85e61d0e4310b7e1602,13767,319,133.5,150.5,20084.9,0.97,1.4589,41.85,virtual_only,,279,171,219,211.8
C,갓단미,7dc9561a4e60fb5221bdea64346672f1,7594,324,132.6,200.1,26526.6,1.75,3.4931,40.93,virtual_only,,272,172,181,195.6
C,옥쓔,0e061c23f8d4e7b5a85ba52b7e18bd5b,21451,1355,131.6,292.4,38490.8,0.61,1.7944,9.71,virtual_only,,92,173,128,138.8
C,도로시 dorothy,66f34bf45e8bcba4e1b486466e837733,18138,410,131.4,213.6,28059.1,0.72,1.547,32.05,virtual_only,,217,174,169,180.6
C,강단해,ae21a2b6fd79853e78973b8825b1e3cf,8076,328,130.8,211.9,27716.1,1.62,3.4319,39.88,virtual_only,,268,175,170,191.6
C,불 법 스 님,c2d89cbe1704ab9003f788cc0a0a208a,27339,545,127.7,106.4,13590.5,0.47,0.4971,23.43,virtual_only,,171,178,309,229.0
C,자두뇨끼,55cad23e436b9b31f5e0fffe3d588194,10085,382,127.7,331.2,42295.5,1.27,4.1939,33.43,virtual_only,,227,179,121,165.4
C,이보늬,16267ae4675f980df5e77bafea37495f,5364,868,126.9,218.0,27667.9,2.37,5.1581,14.62,virtual_only,,122,180,172,165.2
C,김니디,9116ce342b24d085f3afe73ccc465465,8672,442,126.6,276.7,35039.3,1.46,4.0405,28.64,virtual_only,,203,181,141,169.4
C,마지나이 쿠로카,90695d782f44f6b7849cba7c0749e093,8720,237,125.7,217.1,27288.3,1.44,3.1294,53.04,virtual_only,,354,182,176,214.0
C,공설,124ca807978c091907e26c2a5c3b307a,7589,331,125.3,308.1,38591.0,1.65,5.0851,37.85,virtual_only,,265,183,126,176.6
