channel_name,platform,channelId,channel_url,cohort_type,primary_category,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,is_general_game,gg_reason,is_virtual,virtual_basis,total_stream_hours,peak_viewers,avg_viewers,viewership,follower_count,peak_max,peak_p95,peak_median,peak_recent_median,peak_recent_p95,avg_median,avg_recent_median,ts_weeks_total,ts_weeks_active,ts_weeks_recent_active,within_band_by_max,within_band_by_p95,within_band_by_median,within_band_by_recent_median,within_band_by_recent_p95,peak_to_followers,avg_to_followers,viewership_per_hour,peak_avg_ratio,max_weekly_airtime,is_inactive,is_too_new,nobangjong_flag,long_stream_flag,exclude_reason,band,collected_at,final_include,final_cohort_group,peak_basis,gubiba_reference_peak,peak_ratio_to_gubiba,within_band
니은 Neeun,naverchzzk,412471b48add5dd2e56282f163f3f411,https://chzzk.naver.com/live/412471b48add5dd2e56282f163f3f411,main_general_game,원신,원신,41.7,명조:워더링 웨이브,37.4,서브노티카 2,12.7,true,multi_game,unknown,not_collected,94.6,23,8.0,792.0,679,41,39.0,25.0,24,33.4,12.5,10,60,60,13,False,True,True,True,True,0.0339,0.0118,8.37,2.88,38,False,False,False,False,,21-30,2026-06-14T18:38:41.824Z,True,main,recent_median,23,1.043,True
히레 hire,naverchzzk,9be49a707d9928ef90363c211172f98a,https://chzzk.naver.com/live/9be49a707d9928ef90363c211172f98a,main_general_game,종합 게임,종합 게임,100,,0,,0,true,gg_primary,unknown,not_collected,149.7,22,8.0,1309.0,841,40,28.0,18,23,35.2,11,12,109,109,13,False,True,True,True,True,0.0262,0.0095,8.74,2.75,14,False,False,False,False,,21-30,2026-06-14T18:20:03.912Z,True,main,recent_median,23,1.0,True
암픔,naverchzzk,503d5d5848466dd58d8af83083b73a14,https://chzzk.naver.com/live/503d5d5848466dd58d8af83083b73a14,main_general_game,오버워치,오버워치,56.5,발로란트,27.8,종합 게임,5,true,multi_game,unknown,not_collected,153.0,21,8.0,1266.0,3119,42,34.5,22.0,23,32.4,9.0,9,76,76,13,False,True,True,True,True,0.0067,0.0026,8.27,2.62,92,False,False,True,True,,21-30,2026-06-14T18:20:41.775Z,True,main,recent_median,23,1.0,True
김태환90,naverchzzk,9e8a6e8919730f4b06af6a4c5cca165f,https://chzzk.naver.com/live/9e8a6e8919730f4b06af6a4c5cca165f,main_general_game,마인크래프트,마인크래프트,35.9,로스트아크,27.2,talk,10.9,true,multi_game,unknown,not_collected,86.2,22,10.0,911.0,734,43,26.5,17.0,23,27.2,10.5,15,132,132,13,False,True,True,True,True,0.03,0.0136,10.57,2.2,17,False,False,False,False,,21-30,2026-06-14T18:32:07.388Z,True,main,recent_median,23,1.0,True
평범소,naverchzzk,7f148028d1b8b3feab3a5442badded46,https://chzzk.naver.com/live/7f148028d1b8b3feab3a5442badded46,main_general_game,PUBG: 배틀그라운드,PUBG: 배틀그라운드,32.1,발로란트,19,마인크래프트,10.9,true,multi_game,unknown,not_collected,69.8,21,10.0,698.0,1364,57,30.0,18.0,23,30.0,10.0,11,148,148,13,False,True,True,True,True,0.0154,0.0073,10.0,2.1,24,False,False,False,False,,21-30,2026-06-14T18:45:16.966Z,True,main,recent_median,23,1.0,True
루아 블루벨,naverchzzk,adeb7ab9d551519ccfae37b3788c40f1,https://chzzk.naver.com/live/adeb7ab9d551519ccfae37b3788c40f1,main_general_game,디아블로 4: 증오의 군주,디아블로 4: 증오의 군주,48.8,패스 오브 엑자일 2,35.8,세피리아,7,true,multi_game,unknown,not_collected,124.9,36,13.0,1630.0,2025,100,91.2,34.5,22,62.0,16.0,15,112,112,13,True,False,True,True,True,0.0178,0.0064,13.05,2.77,71,False,False,False,True,,31-40,2026-06-14T18:14:53.570Z,True,main,recent_median,23,0.957,True
CASKER,naverchzzk,d8f9cfab91b27abb7b3f7f2c1a186e29,https://chzzk.naver.com/live/d8f9cfab91b27abb7b3f7f2c1a186e29,main_general_game,음악/노래,음악/노래,37.7,talk,31.9,엘든 링,15.6,true,multi_game,unknown,not_collected,100.2,36,15.0,1581.0,2046,350,121.0,36,22,50.4,17,16,135,135,13,False,False,True,True,True,0.0176,0.0073,15.78,2.4,156,False,False,True,True,,31-40,2026-06-14T18:15:30.993Z,True,main,recent_median,23,0.957,True
체다미,naverchzzk,f321837caa794541301464d83daa947b,https://chzzk.naver.com/live/f321837caa794541301464d83daa947b,main_general_game,메이플스토리,메이플스토리,43.3,전략적 팀 전투 : 우주의 신들,24.2,워크래프트 3: 리포지드,24,true,multi_game,unknown,not_collected,144.4,35,10.0,1487.0,551,71,26.8,15,22,51.8,9,10,93,93,13,False,True,True,True,True,0.0635,0.0181,10.3,3.5,99,False,False,True,True,,31-40,2026-06-14T18:17:10.577Z,True,main,recent_median,23,0.957,True
스나루 SUNARU,naverchzzk,e3f1c85f98803a8a0f4187840ec6b862,https://chzzk.naver.com/live/e3f1c85f98803a8a0f4187840ec6b862,main_general_game,포켓몬스터 리프그린,포켓몬스터 리프그린,33.1,포켓몬 포코피아,22.4,talk,22.1,true,multi_game,unknown,not_collected,106.9,37,11.0,1238.0,1026,42,34.7,19.0,22,26.6,14.0,14,84,84,13,False,True,True,True,True,0.0361,0.0107,11.58,3.36,14,False,False,False,False,,31-40,2026-06-14T18:21:03.207Z,True,main,recent_median,23,0.957,True
Lebe,naverchzzk,8410e08fd6359ed491b5ad366994fa0d,https://chzzk.naver.com/live/8410e08fd6359ed491b5ad366994fa0d,main_general_game,유희왕 마스터 듀얼,유희왕 마스터 듀얼,39.4,림버스 컴퍼니,22.3,야구,10,true,multi_game,unknown,not_collected,169.8,28,7.0,1210.0,718,47,34.3,21,22,36.4,13,13,115,115,13,False,True,True,True,True,0.039,0.0097,7.13,4.0,24,False,False,False,False,,21-30,2026-06-14T18:21:55.237Z,True,main,recent_median,23,0.957,True
서애덕,naverchzzk,3fdc985be3bad369225118e6d8dc496b,https://chzzk.naver.com/live/3fdc985be3bad369225118e6d8dc496b,main_general_game,미나 더 할로워,미나 더 할로워,34.3,종합 게임,31.1,젠레스 존 제로,10.6,true,multi_game,unknown,not_collected,521.1,25,7.0,4105.0,980,420,29.7,11.0,21,186.0,6.0,9,88,88,13,False,True,True,True,False,0.0255,0.0071,7.88,3.57,46,False,False,False,False,,21-30,2026-06-14T18:00:00.336Z,True,main,recent_median,23,0.913,True
코룰라,naverchzzk,bfb0e2a105ae46284e0b9e5764248457,https://chzzk.naver.com/live/bfb0e2a105ae46284e0b9e5764248457,main_general_game,이스케이프 프롬 타르코프,이스케이프 프롬 타르코프,50.8,종합 게임,41.5,talk,7.8,true,multi_game,unknown,not_collected,313.1,34,10.0,3324.0,275,43,24.5,15,21,24.8,9,10,71,71,13,False,True,True,True,True,0.1236,0.0364,10.62,3.4,44,False,False,False,False,,31-40,2026-06-14T18:01:41.352Z,True,main,recent_median,23,0.913,True
유채담,naverchzzk,ee279ba91e254d53bce40b7a1b323bda,https://chzzk.naver.com/live/ee279ba91e254d53bce40b7a1b323bda,main_general_game,검은사막,검은사막,28.6,에이펙스 레전드,19.7,워프레임,18,true,multi_game,unknown,not_collected,161.7,41,9.0,1613.0,954,117,93.5,42.0,21,37.4,21.0,10,118,118,13,True,False,False,True,True,0.043,0.0094,9.98,4.56,80,False,False,True,True,,41-50,2026-06-14T18:15:00.300Z,True,main,recent_median,23,0.913,True
찬찬 ChanChan,naverchzzk,2530f0d0a29d48d7ca342e1b6313e687,https://chzzk.naver.com/live/2530f0d0a29d48d7ca342e1b6313e687,main_general_game,오버워치,오버워치,68.3,서브노티카 2,17.4,007 퍼스트 라이트,11.9,true,multi_game,unknown,not_collected,73.6,35,17.0,1263.0,1455,36,31.3,21.0,21,23.0,13.0,11,78,78,13,False,True,True,True,True,0.0241,0.0117,17.16,2.06,31,False,False,False,False,,31-40,2026-06-14T18:20:46.564Z,True,main,recent_median,23,0.913,True
롱판다,naverchzzk,eddbcea5d023e37bf205c4ed2d73ff4d,https://chzzk.naver.com/live/eddbcea5d023e37bf205c4ed2d73ff4d,main_general_game,로스트아크,로스트아크,59.6,톰 클랜시의 더 디비전 2,32,라이어 게임,3.7,true,multi_game,unknown,not_collected,97.1,27,11.0,1148.0,945,40,37.0,26,21,30.2,16,14,133,133,13,False,True,True,True,True,0.0286,0.0116,11.82,2.45,17,False,False,False,False,,21-30,2026-06-14T18:23:29.989Z,True,main,recent_median,23,0.913,True
쿠라맛챠,naverchzzk,d82829566190e566da4d8e97308d5993,https://chzzk.naver.com/live/d82829566190e566da4d8e97308d5993,main_general_game,발로란트,발로란트,58.8,그라운디드 2,17.2,그라운디드,12.8,true,multi_game,unknown,not_collected,77.7,19,10.0,780.0,4203,33,27.1,20,21,25.4,12,13,139,139,13,False,True,True,True,True,0.0045,0.0024,10.04,1.9,69,False,False,False,True,,16-20,2026-06-14T18:39:08.464Z,True,main,recent_median,23,0.913,True
치민22,naverchzzk,cd94f8f4b13e8c195e551bc9f42b2646,https://chzzk.naver.com/live/cd94f8f4b13e8c195e551bc9f42b2646,main_general_game,종합 게임,종합 게임,81.6,33 이모탈스,10.1,엠버 나이트,3.5,true,gg_primary,unknown,not_collected,748.9,47,20.0,15260.0,1496,45,42.0,29.5,20,25.8,18.5,13,100,100,13,False,True,True,True,True,0.0314,0.0134,20.38,2.35,17,False,False,False,False,,41-50,2026-06-14T17:55:30.590Z,True,main,recent_median,23,0.87,True
아야 AYA,naverchzzk,ee127dbe96d87d8056348dca8798ddd5,https://chzzk.naver.com/live/ee127dbe96d87d8056348dca8798ddd5,main_general_game,종합 게임,종합 게임,77.5,007 퍼스트 라이트,17.8,리밋 제로 브레이커스,4.6,true,gg_primary,unknown,not_collected,776.3,24,12.0,9452.0,379,31,26.0,20.0,20,21.8,15.0,15,120,120,13,False,True,True,True,True,0.0633,0.0317,12.18,2.0,11,False,False,False,False,,21-30,2026-06-14T17:56:21.797Z,True,main,recent_median,23,0.87,True
나은0,naverchzzk,4a62ee4e2d30ac11709453faf4583f1a,https://chzzk.naver.com/live/4a62ee4e2d30ac11709453faf4583f1a,main_general_game,종합 게임,종합 게임,100,,0,,0,true,gg_primary,unknown,not_collected,386.9,32,13.0,5325.0,299,29,26.0,20.0,20,27.2,14.0,14,54,54,13,False,True,True,True,True,0.107,0.0435,13.76,2.46,13,False,False,False,False,,31-40,2026-06-14T17:58:00.261Z,True,main,recent_median,23,0.87,True
초다양 CHODAYANG,naverchzzk,5497880b21a2b50c77dc50404c1542ed,https://chzzk.naver.com/live/5497880b21a2b50c77dc50404c1542ed,main_general_game,하츠 오브 아이언 4,하츠 오브 아이언 4,71.1,빅토리아 3,15.2,크루세이더 킹즈 3,6,true,multi_game,unknown,not_collected,765.4,20,6.0,4621.0,790,82,33.3,19.0,20,26.4,8.0,9,108,108,13,True,True,True,True,True,0.0253,0.0076,6.04,3.33,57,False,False,False,True,,16-20,2026-06-14T17:59:07.896Z,True,main,recent_median,23,0.87,True
유키츠네,naverchzzk,08a4fd4c00f1e0faac6c27eaa19b20db,https://chzzk.naver.com/live/08a4fd4c00f1e0faac6c27eaa19b20db,main_general_game,월드 오브 워크래프트: 한밤,월드 오브 워크래프트: 한밤,33.2,talk,19.2,음악/노래,16.5,true,multi_game,unknown,not_collected,326.7,26,7.0,2576.0,817,55,32.2,17.0,20,35.4,11.0,12,136,136,13,False,True,True,True,True,0.0318,0.0086,7.88,3.71,23,False,False,False,False,,21-30,2026-06-14T18:04:48.854Z,True,main,recent_median,23,0.87,True
이쿠롬,naverchzzk,c60605305243b0234e4cd0d10a675b05,https://chzzk.naver.com/live/c60605305243b0234e4cd0d10a675b05,main_general_game,PUBG: 배틀그라운드,PUBG: 배틀그라운드,43.9,마인크래프트,23.5,스톰 스트라이커,18.2,true,multi_game,unknown,not_collected,157.2,27,11.0,1879.0,1736,108,39.0,24,20,24.4,12,12,125,125,13,True,True,True,True,True,0.0156,0.0063,11.95,2.45,46,False,False,False,False,,21-30,2026-06-14T18:11:50.781Z,True,main,recent_median,23,0.87,True
박 잔디,naverchzzk,aca36e99198a7587de9dd1bbe324fd87,https://chzzk.naver.com/live/aca36e99198a7587de9dd1bbe324fd87,main_general_game,리그 오브 레전드,리그 오브 레전드,60.8,서든어택,16.6,talk,8.1,true,multi_game,unknown,not_collected,111.1,27,10.0,1199.0,698,51,35.0,25,20,25.4,13,12,139,139,13,False,True,True,True,True,0.0387,0.0143,10.79,2.7,49,False,False,False,False,,21-30,2026-06-14T18:22:10.135Z,True,main,recent_median,23,0.87,True
삼사마,naverchzzk,66630781c437e465edf43de3cfd19b3b,https://chzzk.naver.com/live/66630781c437e465edf43de3cfd19b3b,main_general_game,라이브러리 오브 루이나,라이브러리 오브 루이나,43.8,종합 게임,18.3,성세천하: 여제의 탄생,6.3,true,multi_game,unknown,not_collected,59.4,29,14.0,885.0,557,59,41.0,26,20,32.2,16,15,127,127,13,False,True,True,True,True,0.0521,0.0251,14.9,2.07,41,False,False,False,False,,21-30,2026-06-14T18:33:15.877Z,True,main,recent_median,23,0.87,True
백범로,naverchzzk,0166327ca44281daa1d35d57fa8c9bce,https://chzzk.naver.com/live/0166327ca44281daa1d35d57fa8c9bce,main_general_game,talk,talk,46.4,종합 게임,33,엘든 링,15.1,true,multi_game,unknown,not_collected,56.1,27,15.0,864.0,204,27,26.7,20,20,26.0,13,14,27,27,13,False,True,True,True,True,0.1324,0.0735,15.4,1.8,11,False,False,False,False,,21-30,2026-06-14T18:34:40.014Z,True,main,recent_median,23,0.87,True
포니고라운드,naverchzzk,aa26e59c91a22bd430ec1d5d6d965dac,https://chzzk.naver.com/live/aa26e59c91a22bd430ec1d5d6d965dac,main_general_game,서브노티카 2,서브노티카 2,27.2,미나 더 할로워,18.1,talk,17.7,true,multi_game,unknown,not_collected,43.3,38,17.0,770.0,1185,65,44.9,26,20,57.0,18,15,123,123,13,False,True,True,True,True,0.0321,0.0143,17.78,2.24,53,False,False,False,True,,31-40,2026-06-14T18:39:54.403Z,True,main,recent_median,23,0.87,True
김정폭,naverchzzk,8d2a6539c9b0570f9d69c8539eebeb69,https://chzzk.naver.com/live/8d2a6539c9b0570f9d69c8539eebeb69,main_general_game,talk,talk,26.3,서브노티카,22.3,이환,15.5,true,multi_game,unknown,not_collected,629.6,47,11.0,7444.0,732,66,49.0,23,19,54.2,12,11,111,111,13,False,True,True,True,True,0.0642,0.015,11.82,4.27,35,False,False,False,False,,41-50,2026-06-14T17:56:54.187Z,True,main,recent_median,23,0.826,True
판 토,naverchzzk,2a65176231abe621f2243ec200b0f229,https://chzzk.naver.com/live/2a65176231abe621f2243ec200b0f229,main_general_game,윈드로즈,윈드로즈,32.4,엘든 링,28.9,스타듀 밸리,28.3,true,multi_game,unknown,not_collected,246.2,25,11.0,2792.0,521,36,21.0,13.0,19,31.8,8.0,10,98,98,13,False,True,True,True,True,0.048,0.0211,11.34,2.27,37,False,False,False,False,,21-30,2026-06-14T18:03:34.357Z,True,main,recent_median,23,0.826,True
밑줄밑줄,naverchzzk,fb74541470fbab69ac286cfb24a96e6c,https://chzzk.naver.com/live/fb74541470fbab69ac286cfb24a96e6c,main_general_game,라이브러리안: 타이디 업 더 아케인 라이브러리!,라이브러리안: 타이디 업 더 아케인 라이브러리!,55.7,모탈 셸,28.7,talk,15.7,true,multi_game,unknown,not_collected,217.4,24,9.0,2119.0,457,53,28.4,16,19,25.2,10,10,57,57,13,False,True,True,True,True,0.0525,0.0197,9.75,2.67,37,False,False,False,False,,21-30,2026-06-14T18:08:17.504Z,True,main,recent_median,23,0.826,True
아오토 라떼,naverchzzk,a4c69e7f9c0fc25a018a1c3c3cf0c17f,https://chzzk.naver.com/live/a4c69e7f9c0fc25a018a1c3c3cf0c17f,main_general_game,고전 게임,고전 게임,67.5,오버워치,32.5,,0,true,multi_game,unknown,not_collected,245.4,21,7.0,1958.0,382,27,24.4,17,19,23.8,10,9,73,73,13,False,True,True,True,True,0.055,0.0183,7.98,3.0,31,False,False,False,False,,21-30,2026-06-14T18:10:21.566Z,True,main,recent_median,23,0.826,True
겜나나,naverchzzk,be6b744d84caebdc8102f541b9e3861c,https://chzzk.naver.com/live/be6b744d84caebdc8102f541b9e3861c,main_general_game,종합 게임,종합 게임,77.1,서브노티카 2,7.2,talk,6.7,true,gg_primary,unknown,not_collected,132.3,24,12.0,1595.0,196,21,20.0,16,19,20.4,11,13,35,35,13,False,True,True,True,False,0.1224,0.0612,12.06,2.0,8,False,False,False,False,,21-30,2026-06-14T18:15:17.369Z,True,main,recent_median,23,0.826,True
코코론,naverchzzk,726b155098a80e8eba10d68f0cfc07cd,https://chzzk.naver.com/live/726b155098a80e8eba10d68f0cfc07cd,main_general_game,데드 바이 데이라이트,데드 바이 데이라이트,53.1,이환,20.8,이스케이프 프롬 타르코프,19.4,true,multi_game,unknown,not_collected,120.7,21,12.0,1529.0,217,24,20.3,16.0,19,22.8,10.0,13,94,94,13,False,True,True,True,True,0.0968,0.0553,12.67,1.75,27,False,False,False,False,,21-30,2026-06-14T18:16:20.354Z,True,main,recent_median,23,0.826,True
에맴맨TV,naverchzzk,7f4aaa6b0fb60cc52448e7d0c036342d,https://chzzk.naver.com/live/7f4aaa6b0fb60cc52448e7d0c036342d,main_general_game,엘든 링,엘든 링,26.4,슬레이 더 스파이어 2,15.3,talk,12.2,true,multi_game,unknown,not_collected,83.1,24,12.0,1066.0,315,31,29.0,20.0,19,24.8,13.0,12,96,96,13,False,True,True,True,True,0.0762,0.0381,12.83,2.0,12,False,False,False,False,,21-30,2026-06-14T18:25:43.773Z,True,main,recent_median,23,0.826,True
쇼새,naverchzzk,9c9a50b58884399c69d7ee1610bc6794,https://chzzk.naver.com/live/9c9a50b58884399c69d7ee1610bc6794,main_general_game,로스트아크,로스트아크,52.5,돈 스타브 투게더,26,헬다이버즈 2,5.1,true,multi_game,unknown,not_collected,102.3,19,9.0,1022.0,612,61,47,21,19,24.0,12,13,141,141,13,False,True,True,True,True,0.031,0.0147,9.99,2.11,72,False,False,False,True,,16-20,2026-06-14T18:27:26.106Z,True,main,recent_median,23,0.826,True
권라치,naverchzzk,1c4cbafbd49aa741d272bea73b67aa2c,https://chzzk.naver.com/live/1c4cbafbd49aa741d272bea73b67aa2c,main_general_game,마인크래프트,마인크래프트,24.8,이환,23.7,talk,21.4,true,multi_game,unknown,not_collected,91.8,23,10.0,977.0,1221,97,30.5,19.0,19,34.8,13.0,12,126,126,13,True,True,True,True,True,0.0188,0.0082,10.64,2.3,11,False,False,False,False,,21-30,2026-06-14T18:29:23.320Z,True,main,recent_median,23,0.826,True
애모모,naverchzzk,02c3a70797e67788ade2455e175d6452,https://chzzk.naver.com/live/02c3a70797e67788ade2455e175d6452,main_general_game,talk,talk,21.6,리그 오브 레전드,19.6,이환,19.4,true,multi_game,unknown,not_collected,65.4,37,13.0,909.0,390,65,50.4,27,19,22.6,15,11,133,133,13,False,True,True,True,True,0.0949,0.0333,13.9,2.85,16,False,False,False,False,,31-40,2026-06-14T18:32:21.556Z,True,main,recent_median,23,0.826,True
헵부,naverchzzk,86e7edf62d3eabf0684f97ca6edce9ad,https://chzzk.naver.com/live/86e7edf62d3eabf0684f97ca6edce9ad,main_general_game,월드 오브 워크래프트: 한밤,월드 오브 워크래프트: 한밤,47.8,월드 오브 워크래프트 클래식,17.7,클레르 옵스퀴르: 33 원정대,16.8,true,multi_game,unknown,not_collected,61.1,41,14.0,871.0,1597,61,50.8,27.0,19,27.0,13.0,14,118,118,13,False,True,True,True,True,0.0257,0.0088,14.26,2.93,42,False,False,False,False,,41-50,2026-06-14T18:34:21.421Z,True,main,recent_median,23,0.826,True
더스트v,naverchzzk,acf6dd771e87a5ac8199f3850cbce994,https://chzzk.naver.com/live/acf6dd771e87a5ac8199f3850cbce994,main_general_game,마비노기 모바일,마비노기 모바일,24.5,승리의 여신: 니케,19.8,몬길: STAR DIVE,15.9,true,multi_game,unknown,not_collected,93.2,25,8.0,833.0,963,85,38.1,18,19,33.6,11,11,119,119,13,True,True,True,True,True,0.026,0.0083,8.94,3.12,12,False,False,False,False,,21-30,2026-06-14T18:35:53.968Z,True,main,recent_median,23,0.826,True
Anotherkyo,naverchzzk,785f274d8ad7a3b5f78622b82b84570a,https://chzzk.naver.com/live/785f274d8ad7a3b5f78622b82b84570a,main_general_game,파이널판타지14,파이널판타지14,74.6,성세천하: 여제의 탄생 Ⅱ,25.4,,0,true,multi_game,unknown,not_collected,65.2,22,10.0,699.0,141,30,28,15,19,28.8,7,9,41,41,13,False,True,True,True,True,0.156,0.0709,10.72,2.2,39,False,False,False,False,,21-30,2026-06-14T18:44:53.485Z,True,main,recent_median,23,0.826,True
극악뉴,naverchzzk,55894ddc17c453bcaf5e0b6b3e7498e0,https://chzzk.naver.com/live/55894ddc17c453bcaf5e0b6b3e7498e0,main_general_game,마비노기 모바일,마비노기 모바일,48.2,디제이맥스 리스펙트 V,39,talk,8.8,true,multi_game,unknown,not_collected,63.5,32,10.0,693.0,1056,50,34.0,18.0,19,24.0,12.0,12,120,120,13,False,True,True,True,True,0.0303,0.0095,10.91,3.2,11,False,False,False,False,,31-40,2026-06-14T18:45:40.530Z,True,main,recent_median,23,0.826,True
유레이 UREI,naverchzzk,67b99b03f73b0bc2f8fe1d2ef5c9af81,https://chzzk.naver.com/live/67b99b03f73b0bc2f8fe1d2ef5c9af81,main_general_game,림월드,림월드,26.6,리그 오브 레전드,25.8,종합 게임,18.4,true,multi_game,unknown,not_collected,866.5,31,14.0,12520.0,618,41,25.0,18,18,21.0,12,13,131,131,13,False,True,True,True,False,0.0502,0.0227,14.45,2.21,12,False,False,False,False,,31-40,2026-06-14T17:55:51.570Z,True,main,recent_median,23,0.783,True
쁘눙공작,naverchzzk,4cd76d9219e872fb80681d13308025c6,https://chzzk.naver.com/live/4cd76d9219e872fb80681d13308025c6,main_general_game,종합 게임,종합 게임,35.5,용과 같이 0: 맹세의 장소,15.3,talk,14.3,true,gg_primary,unknown,not_collected,1326.3,25,7.0,9465.0,295,29,26.3,20,18,25.2,11,11,135,135,13,False,True,True,True,True,0.0847,0.0237,7.14,3.57,56,False,False,False,True,,21-30,2026-06-14T17:56:14.963Z,True,main,recent_median,23,0.783,True
파피푸 페포,naverchzzk,a21a5559dc3f749b483c1ecb2b5e4959,https://chzzk.naver.com/live/a21a5559dc3f749b483c1ecb2b5e4959,main_general_game,종합 게임,종합 게임,58.6,talk,41,반교 : 디텐션,0.4,true,gg_primary,unknown,not_collected,400.0,31,11.0,4637.0,355,64,25.4,15,18,26.2,10,12,97,97,13,False,True,True,True,True,0.0873,0.031,11.59,2.82,6,False,False,False,False,,31-40,2026-06-14T17:59:00.441Z,True,main,recent_median,23,0.783,True
은둔이,naverchzzk,5992c0c83aaec4f64199fb265e0285ec,https://chzzk.naver.com/live/5992c0c83aaec4f64199fb265e0285ec,main_general_game,talk,talk,29,마비노기,17.9,이환,16.4,true,multi_game,unknown,not_collected,487.0,25,7.0,3507.0,1031,30,25.0,16,18,23.2,8,10,149,149,13,False,True,True,True,True,0.0242,0.0068,7.2,3.57,19,False,False,False,False,,21-30,2026-06-14T18:00:47.853Z,True,main,recent_median,23,0.783,True
쵸쵸우,naverchzzk,e0d8c9d12249766c1c4b27b59b3de0a3,https://chzzk.naver.com/live/e0d8c9d12249766c1c4b27b59b3de0a3,main_general_game,오버워치,오버워치,62.9,종합 게임,19.5,데드 바이 데이라이트,17.6,true,multi_game,unknown,not_collected,503.6,19,6.0,3375.0,987,35,29.0,19.0,18,26.2,12.0,10,132,132,13,False,True,True,True,True,0.0193,0.0061,6.7,3.17,15,False,False,False,False,,16-20,2026-06-14T18:01:17.037Z,True,main,recent_median,23,0.783,True
나들희,naverchzzk,827cf700086734c7b700e138eaf9f57e,https://chzzk.naver.com/live/827cf700086734c7b700e138eaf9f57e,main_general_game,스플래툰 3,스플래툰 3,39,두근두근타운,17.4,talk,12.2,true,multi_game,unknown,not_collected,155.4,26,10.0,1657.0,647,31,24.5,16.0,18,24.8,10.0,11,116,116,13,False,True,True,True,True,0.0402,0.0155,10.66,2.6,23,False,False,False,False,,21-30,2026-06-14T18:14:41.389Z,True,main,recent_median,23,0.783,True
아하 AHA,naverchzzk,062c2bff9cf6245da75b54a70d2d0fe9,https://chzzk.naver.com/live/062c2bff9cf6245da75b54a70d2d0fe9,main_general_game,전략적 팀 전투 : 우주의 신들,전략적 팀 전투 : 우주의 신들,45.1,리그 오브 레전드,24,다크 소울 2,9.3,true,multi_game,unknown,not_collected,105.5,28,12.0,1276.0,440,98,39.9,19,18,54.8,10,8,123,123,13,True,True,True,True,True,0.0636,0.0273,12.09,2.33,24,False,False,False,False,,21-30,2026-06-14T18:20:27.220Z,True,main,recent_median,23,0.783,True
미네르 Mineru,naverchzzk,69996ac83db681049e110c5883f05f39,https://chzzk.naver.com/live/69996ac83db681049e110c5883f05f39,main_general_game,talk,talk,22.4,에이펙스 레전드,21.1,서브노티카: 빌로우 제로,18.3,true,multi_game,unknown,not_collected,108.5,21,10.0,1144.0,849,42,36.1,21,18,34.2,13,14,119,119,13,False,True,True,True,True,0.0247,0.0118,10.54,2.1,37,False,False,False,False,,21-30,2026-06-14T18:23:42.994Z,True,main,recent_median,23,0.783,True
복슝2,naverchzzk,c8ee3656f7d3607d3cb31d9ca58c14c9,https://chzzk.naver.com/live/c8ee3656f7d3607d3cb31d9ca58c14c9,main_general_game,talk,talk,41.6,종합 게임,19.4,마인크래프트,11.3,true,gg_secondary,unknown,not_collected,63.6,34,15.0,995.0,810,34,30.0,17,18,24.2,11,12,95,95,13,False,True,True,True,True,0.042,0.0185,15.64,2.27,30,False,False,False,False,,31-40,2026-06-14T18:28:39.022Z,True,main,recent_median,23,0.783,True
유푸링,naverchzzk,ad76cad60cf7f1c7b658433d3c2b4f75,https://chzzk.naver.com/live/ad76cad60cf7f1c7b658433d3c2b4f75,main_general_game,리그 오브 레전드,리그 오브 레전드,62.5,돈 스타브 투게더,25.4,슈퍼 단간론파 2: 안녕히 절망학원,4.2,true,multi_game,unknown,not_collected,63.9,29,12.0,776.0,968,34,30.5,21,18,29.8,15,14,131,131,13,False,True,True,True,True,0.03,0.0124,12.14,2.42,13,False,False,False,False,,21-30,2026-06-14T18:39:32.571Z,True,main,recent_median,23,0.783,True
아루다루송송,naverchzzk,a4fd197e164bec9a925c53ac4f831d07,https://chzzk.naver.com/live/a4fd197e164bec9a925c53ac4f831d07,main_general_game,종합 게임,종합 게임,87.2,이스케이프 프롬 타르코프,7,러시안 피싱 4,3.6,true,gg_primary,unknown,not_collected,1487.2,27,8.0,13107.0,238,28,18.0,13.0,17,18.4,8.0,10,90,90,13,False,False,True,True,False,0.1134,0.0336,8.81,3.38,34,False,False,False,False,,21-30,2026-06-14T17:55:43.122Z,True,main,recent_median,23,0.739,True
티아스 Tias,naverchzzk,9becba80e75bd5a7ba73ef7de32d578e,https://chzzk.naver.com/live/9becba80e75bd5a7ba73ef7de32d578e,main_general_game,종합 게임,종합 게임,47.7,명조:워더링 웨이브,22.7,데이 아 빌리언즈,11.4,true,gg_primary,unknown,not_collected,1091.5,42,12.0,13111.0,253,51,34.0,19.0,17,23.4,13.0,12,120,120,13,False,True,True,True,True,0.166,0.0474,12.01,3.5,24,False,False,False,False,,41-50,2026-06-14T17:55:43.513Z,True,main,recent_median,23,0.739,True
