layer,name,channelId,follower,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct
C,날먹키코,2275b35a6c555959fb4a61e18a818a59,16414,219.8,319,168,222,144.4,269,136.7,19744.7,0.83,1.2029,50.82
C,청목 Chungmok,42344dd53d4c5dc33e962c8913f6adc3,5792,181.6,234,169,168,213.7,376,136.2,29099.1,2.35,5.024,36.22
C,김하루ㅡ,897a1ed91293eb9517b4620c07879153,8060,211.8,209,170,255,127.0,422,134.1,17029.6,1.66,2.1129,31.78
C,이 리 온,63368ec9081dc85e61d0e4310b7e1602,13767,211.8,279,171,219,150.5,319,133.5,20084.9,0.97,1.4589,41.85
C,갓단미,7dc9561a4e60fb5221bdea64346672f1,7594,195.6,272,172,181,200.1,324,132.6,26526.6,1.75,3.4931,40.93
C,옥쓔,0e061c23f8d4e7b5a85ba52b7e18bd5b,21451,138.8,92,173,128,292.4,1355,131.6,38490.8,0.61,1.7944,9.71
C,도로시 dorothy,66f34bf45e8bcba4e1b486466e837733,18138,180.6,217,174,169,213.6,410,131.4,28059.1,0.72,1.547,32.05
C,강단해,ae21a2b6fd79853e78973b8825b1e3cf,8076,191.6,268,175,170,211.9,328,130.8,27716.1,1.62,3.4319,39.88
C,불 법 스 님,c2d89cbe1704ab9003f788cc0a0a208a,27339,229.0,171,178,309,106.4,545,127.7,13590.5,0.47,0.4971,23.43
C,자두뇨끼,55cad23e436b9b31f5e0fffe3d588194,10085,165.4,227,179,121,331.2,382,127.7,42295.5,1.27,4.1939,33.43
C,이보늬,16267ae4675f980df5e77bafea37495f,5364,165.2,122,180,172,218.0,868,126.9,27667.9,2.37,5.1581,14.62
C,김니디,9116ce342b24d085f3afe73ccc465465,8672,169.4,203,181,141,276.7,442,126.6,35039.3,1.46,4.0405,28.64
C,마지나이 쿠로카,90695d782f44f6b7849cba7c0749e093,8720,214.0,354,182,176,217.1,237,125.7,27288.3,1.44,3.1294,53.04
C,공설,124ca807978c091907e26c2a5c3b307a,7589,176.6,265,183,126,308.1,331,125.3,38591.0,1.65,5.0851,37.85
C,디온 Dion,f380f620615fffd54451032686932f9d,10146,219.0,313,184,207,171.9,280,125.1,21500.4,1.23,2.1191,44.68
