channel_name,channelId,channel_url,cohort_type,platform,categories,is_virtual,is_general_game,peak_viewers_raw,avg_viewers_raw,stream_hours,follower,viewership,ts_weeks,peak_max,peak_p95,peak_all_median,peak_recent_median,peak_recent_p95,avg_viewers_median,avg_viewers_recent_median,band_raw_max,band_p95,band_all_median,band_recent_median,band_recent_p95,eff_peak_follower,eff_avg_follower,nobangjong,long_stream,inactive,too_new,final_include,final_cohort_group
오유리,f1aa3ce117d69ba6c850379c8b2250cf,https://chzzk.naver.com/live/f1aa3ce117d69ba6c850379c8b2250cf,aux_virtual,chzzk,리그 오브 레전드;포 더 킹 2;음악/노래,True,False,28,15,56.7,1713,873,109,28,56,39,39,38,19,20,False,True,True,True,True,0.02,0.01,True,False,False,False,True,virtual_peer
호주머니,1b55e07f8d3cdf58334796ed76cd9699,https://chzzk.naver.com/live/1b55e07f8d3cdf58334796ed76cd9699,aux_virtual,chzzk,talk;마인크래프트;이터널 리턴,True,False,48,25,97.7,3994,2500,126,48,74,46.0,38,46,31.0,32,False,True,False,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
설담 SULDAM,3979fdba8be365f53a3ea57a41df4b79,https://chzzk.naver.com/live/3979fdba8be365f53a3ea57a41df4b79,aux_virtual,chzzk,talk;스타크래프트 : 리마스터;007 퍼스트 라이트,True,False,48,25,32.9,3110,845,138,48,52,38.5,38,38,30.0,26,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
와박문,673b7fd8643c1a6800bb67e5bdde99b6,https://chzzk.naver.com/live/673b7fd8643c1a6800bb67e5bdde99b6,aux_virtual,chzzk,명조:워더링 웨이브;talk;리그 오브 레전드,True,False,38,22,57.4,3483,1314,136,38,64,39.0,37,34,28.0,27,False,True,True,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
세오 Seo,c45f38431306650d33361c601badd441,https://chzzk.naver.com/live/c45f38431306650d33361c601badd441,aux_virtual,chzzk,마비노기 모바일;P의 거짓;리그 오브 레전드,True,False,40,15,80.0,483,1259,85,40,48,30,37,28,17,25,False,True,True,True,True,0.08,0.03,False,False,False,False,True,virtual_peer
리채 Richae,3e058dcfbb022dfdaa1a9b7d9eefe45a,https://chzzk.naver.com/live/3e058dcfbb022dfdaa1a9b7d9eefe45a,aux_virtual,chzzk,던전앤파이터;종합 게임;고전 게임,True,False,41,24,49.1,1210,1184,121,41,68,34,37,36,24,27,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
hey 여나야,f83b18e17d760163fdbd6e9512d5fdfb,https://chzzk.naver.com/live/f83b18e17d760163fdbd6e9512d5fdfb,aux_virtual,chzzk,talk;철권 8;마인크래프트,True,False,35,20,49.9,2755,1018,132,35,65,30.0,37,36,22.0,27,False,True,True,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
메가재범,63d1d26a9dbf5ade38d4fb51b960064d,https://chzzk.naver.com/live/63d1d26a9dbf5ade38d4fb51b960064d,aux_virtual,chzzk,마인크래프트;서브노티카 2;돈 스타브 투게더,True,False,45,25,228.8,1929,5791,131,45,52,37,36,38,28,24,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
RIOORI 리우리,3d24cb2450ec17e17f79e964d32a23e3,https://chzzk.naver.com/live/3d24cb2450ec17e17f79e964d32a23e3,aux_virtual,chzzk,던전앤파이터;메이플스토리 월드;컬트 오브 더 램,True,False,36,15,88.1,638,1403,128,36,67,39.0,36,45,21.0,23,False,True,True,True,True,0.06,0.02,False,False,False,False,True,virtual_peer
눈꽃 하임,7b630cfb6f772f91110e952c1449f1bb,https://chzzk.naver.com/live/7b630cfb6f772f91110e952c1449f1bb,aux_virtual,chzzk,talk;왕좌의 게임: 킹스로드;승리의 여신: 니케,True,False,35,19,54.8,3761,1093,127,35,45,30,36,38,22,26,False,True,True,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
흰색토깽이,36a434c26b9da377a538a6e4b2b6f2c6,https://chzzk.naver.com/live/36a434c26b9da377a538a6e4b2b6f2c6,aux_virtual,chzzk,야구,True,False,16,7,142.3,417,998,77,16,40,12,36,36,8,24,False,True,True,True,True,0.04,0.02,False,False,False,False,True,virtual_peer
매운소다,1e3897fe400dd8cdd5b9bb4b96e999e4,https://chzzk.naver.com/live/1e3897fe400dd8cdd5b9bb4b96e999e4,aux_virtual,chzzk,이터널 리턴;talk;명조:워더링 웨이브,True,False,34,21,41.8,1102,907,135,34,63,37,36,30,24,23,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
자근순무,e43e57d18238478ab373d447b8017d36,https://chzzk.naver.com/live/e43e57d18238478ab373d447b8017d36,aux_virtual,chzzk,talk;이환;명조:워더링 웨이브,True,False,45,21,163.2,2681,3476,134,45,59,37.0,35,35,20.0,22,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
돼지저금통 치지직,1d19dc348fdf699e63885944b49ff60c,https://chzzk.naver.com/live/1d19dc348fdf699e63885944b49ff60c,aux_virtual,chzzk,talk;음악/노래;이터널 리턴,True,False,37,23,105.8,2449,2491,144,37,74,44.0,35,37,26.0,22,False,True,False,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
모모팡,82d0d7494afb41193fc469e57e0df5df,https://chzzk.naver.com/live/82d0d7494afb41193fc469e57e0df5df,aux_virtual,chzzk,이터널 리턴;림버스 컴퍼니;talk,True,False,32,14,113.9,1438,1617,123,32,82,39,35,36,22,23,False,False,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
순결한 젤리쨩,7e8004f0a82dafa26dfc619513e83d5b,https://chzzk.naver.com/live/7e8004f0a82dafa26dfc619513e83d5b,aux_virtual,chzzk,talk;리그 오브 레전드;세키로: 섀도우 다이 트와이스,True,False,35,15,51.5,3295,779,136,35,53,27.0,35,28,18.5,22,False,True,True,True,True,0.01,0.0,False,False,False,False,True,virtual_peer
아세비,7a847332420ea9ec8a2795d2bfd4ecaa,https://chzzk.naver.com/live/7a847332420ea9ec8a2795d2bfd4ecaa,aux_virtual,chzzk,림버스 컴퍼니;음악/노래;페르소나5: 더 팬텀 X,True,False,39,13,389.1,2226,5083,149,39,79,43,34,26,12,11,False,False,False,True,True,0.02,0.01,True,True,False,False,True,virtual_peer
여니연어,b6a1a1b3e7bd6a8860d61c09a6b79df5,https://chzzk.naver.com/live/b6a1a1b3e7bd6a8860d61c09a6b79df5,aux_virtual,chzzk,이터널 리턴;로스트아크;명조:워더링 웨이브,True,False,36,17,165.0,2104,2826,142,36,122,45.0,34,45,20.0,21,False,False,False,True,True,0.02,0.01,True,True,False,False,True,virtual_peer
Lv1 리릭,fa308a4adcf9d95dc35ede522a8a9aad,https://chzzk.naver.com/live/fa308a4adcf9d95dc35ede522a8a9aad,aux_virtual,chzzk,스플래툰 3;talk;피크,True,False,28,14,173.0,515,2549,131,28,47,32,34,37,23,26,False,True,True,True,True,0.05,0.03,False,False,False,False,True,virtual_peer
이태호,ff49176260d1424dc72ac38b99a38b5f,https://chzzk.naver.com/live/ff49176260d1424dc72ac38b99a38b5f,aux_virtual,chzzk,카트라이더;talk;PUBG: 배틀그라운드,True,False,49,31,44.6,1788,1410,134,49,43,34.5,34,40,27.0,27,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
엘몽,27c308b12e19387d2bc9332c2df66f83,https://chzzk.naver.com/live/27c308b12e19387d2bc9332c2df66f83,aux_virtual,chzzk,talk;리그 오브 레전드;친구모아 아일랜드 두근두근 라이프,True,False,34,22,47.5,1747,1064,140,34,55,35.0,34,23,26.0,26,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
요조TV,8a79129b34e042fcd825fbffc3f52c99,https://chzzk.naver.com/live/8a79129b34e042fcd825fbffc3f52c99,aux_virtual,chzzk,명조:워더링 웨이브;talk;성세천하: 여제의 탄생 Ⅱ,True,False,43,17,52.9,4677,939,128,43,143,44.5,34,43,23.0,23,False,False,False,True,True,0.01,0.0,False,False,False,False,True,virtual_peer
대상어,1bb5d04f49dace3bad16515215a4f7ad,https://chzzk.naver.com/live/1bb5d04f49dace3bad16515215a4f7ad,aux_virtual,chzzk,talk;명조:워더링 웨이브;음악/노래,True,False,43,19,46.3,1022,909,86,43,64,36.0,34,34,22.5,23,False,True,True,True,True,0.04,0.02,False,False,False,False,True,virtual_peer
메아리 Meahri,57c46759986b55890b332f0a851c6f78,https://chzzk.naver.com/live/57c46759986b55890b332f0a851c6f78,aux_virtual,chzzk,로스트아크;오버워치;talk,True,False,34,19,45.6,1790,887,123,34,55,39,34,58,26,23,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
공설,b89311d7376df54f5a3389e997a77007,https://chzzk.naver.com/live/b89311d7376df54f5a3389e997a77007,aux_virtual,chzzk,talk;종합 게임,True,False,44,26,31.8,3839,851,137,44,43,33,34,34,27,29,False,True,True,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
하나노 토카,9a3ed215c3ac19a3f75159a674485921,https://chzzk.naver.com/live/9a3ed215c3ac19a3f75159a674485921,aux_virtual,chzzk,메이플스토리 월드;talk;이환,True,False,27,15,44.4,1551,684,63,27,61,26,34,56,16,17,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
우소 마토,ab504d770e36bf59aaf155be434952d8,https://chzzk.naver.com/live/ab504d770e36bf59aaf155be434952d8,aux_virtual,chzzk,스타크래프트 : 리마스터;단간론파: 희망의 학원과 절망의 고교생;talk,True,False,18,5,159.5,480,827,142,18,34,13.0,33,38,9.0,21,False,True,True,True,True,0.04,0.01,False,False,False,False,True,virtual_peer
용룻,fb928a3051bfda0662b5ee3c116b71b9,https://chzzk.naver.com/live/fb928a3051bfda0662b5ee3c116b71b9,aux_virtual,chzzk,PUBG: 배틀그라운드;talk;디트로이트: 비컴 휴먼,True,False,33,14,49.0,1588,710,121,33,47,26,33,29,18,25,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
천령여우씨,b3faaa462d5ed590e966e7ee8936fa53,https://chzzk.naver.com/live/b3faaa462d5ed590e966e7ee8936fa53,aux_virtual,chzzk,던전앤파이터;talk;다크 소울 2,True,False,50,16,309.3,2012,5250,137,50,37,27,32,62,19,24,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
빵지콩,ff38fdec85167efa94405c328e8e8c6e,https://chzzk.naver.com/live/ff38fdec85167efa94405c328e8e8c6e,aux_virtual,chzzk,리그 오브 레전드;talk;PUBG: 배틀그라운드,True,False,41,27,69.3,2425,1907,134,41,58,39.0,32,29,29.0,23,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
로디마스,7dd6f0927c18f4acc3f40b8d31a80f0f,https://chzzk.naver.com/live/7dd6f0927c18f4acc3f40b8d31a80f0f,aux_virtual,chzzk,talk;이환;림버스 컴퍼니,True,False,41,18,101.7,2378,1880,141,41,83,37,32,28,23,19,False,False,True,True,True,0.02,0.01,True,False,False,False,True,virtual_peer
겜타,0197d1409b1aff985d6877e6c7313c55,https://chzzk.naver.com/live/0197d1409b1aff985d6877e6c7313c55,aux_virtual,chzzk,파이널판타지14;talk;성세천하: 여제의 탄생,True,False,32,19,88.3,308,1726,76,32,40,26.0,32,29,20.0,20,False,True,True,True,True,0.1,0.06,False,False,False,False,True,virtual_peer
비나 Binah,0be8dc1c87bc63e51380f779123df6aa,https://chzzk.naver.com/live/0be8dc1c87bc63e51380f779123df6aa,aux_virtual,chzzk,talk;오버워치;종합 게임,True,False,44,27,47.0,3022,1307,113,44,51,36,32,33,26,24,False,True,True,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
연 구 대 상,2d27c050d8db708af8b54c9d128d2278,https://chzzk.naver.com/live/2d27c050d8db708af8b54c9d128d2278,aux_virtual,chzzk,talk;록맨 X 애니버서리 컬렉션;트릭컬 리바이브,True,False,40,20,284.0,2184,5890,143,40,41,29,31,33,22,20,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
설ㅡ하,42d9e35fdeee6c2163494eb12961e9da,https://chzzk.naver.com/live/42d9e35fdeee6c2163494eb12961e9da,aux_virtual,chzzk,블루 아카이브;talk;마인크래프트,True,False,49,22,104.0,2187,2369,119,49,88,44,31,27,24,21,False,False,False,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
유나욘,7083e83967817b39ca8e32ce8a91facc,https://chzzk.naver.com/live/7083e83967817b39ca8e32ce8a91facc,aux_virtual,chzzk,talk;친구모아 아일랜드 두근두근 라이프;언더테일,True,False,34,21,101.6,787,2167,130,34,46,31.0,31,31,23.0,26,False,True,True,True,True,0.04,0.03,False,False,False,False,True,virtual_peer
센 카르멘,ae62ca36d3ef9891f4c1e34c6e8b3ba9,https://chzzk.naver.com/live/ae62ca36d3ef9891f4c1e34c6e8b3ba9,aux_virtual,chzzk,talk;마인크래프트;서브노티카 2,True,False,49,19,84.1,1924,1655,120,49,131,38.0,31,27,22.0,22,False,False,True,True,True,0.03,0.01,False,False,False,False,True,virtual_peer
머란,8bf37f7164e814a1881b40f4f6305175,https://chzzk.naver.com/live/8bf37f7164e814a1881b40f4f6305175,aux_virtual,chzzk,로스트아크;talk;마법소녀의 마녀재판,True,False,34,17,53.7,887,928,135,34,50,31,31,34,21,21,False,True,True,True,True,0.04,0.02,False,False,False,False,True,virtual_peer
원 츄,cae8ee60856a7d0b4fe7eb75d2a8fe16,https://chzzk.naver.com/live/cae8ee60856a7d0b4fe7eb75d2a8fe16,aux_virtual,chzzk,메이플스토리 월드;데드 바이 데이라이트,True,False,33,13,58.3,689,808,139,33,33,21,31,39,11,18,False,True,True,True,True,0.05,0.02,False,False,False,False,True,virtual_peer
김데데1,8bca5c02ddc6c5a8ae9d0867a9ed8c50,https://chzzk.naver.com/live/8bca5c02ddc6c5a8ae9d0867a9ed8c50,aux_virtual,chzzk,데드 바이 데이라이트;talk;바이오하자드 레퀴엠,True,False,27,12,168.6,875,2096,133,27,33,23,30,30,15,21,False,True,True,True,True,0.03,0.01,False,False,False,False,True,virtual_peer
송근봉,68daca14bebc804d56b3dc601c8e7aff,https://chzzk.naver.com/live/68daca14bebc804d56b3dc601c8e7aff,aux_virtual,chzzk,마인크래프트;talk;림월드,True,False,36,17,95.1,1903,1697,121,36,58,35,30,21,22,22,False,True,True,True,False,0.02,0.01,False,False,False,False,True,virtual_peer
고일이,cf882ca21960c190dd6af5c8332d3876,https://chzzk.naver.com/live/cf882ca21960c190dd6af5c8332d3876,aux_virtual,chzzk,ASMR;마인크래프트;talk,True,False,39,16,93.9,2388,1509,115,39,233,29,30,34,20,20,False,False,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
하나해,b853cd157a4f76f5a5774b6efdf2a69a,https://chzzk.naver.com/live/b853cd157a4f76f5a5774b6efdf2a69a,aux_virtual,chzzk,스톰 스트라이커;서브노티카 2;talk,True,False,33,12,87.4,1672,1120,110,33,44,26.0,30,47,18.0,20,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
반 희,84085c3d1b09603389bf48dc01dd0490,https://chzzk.naver.com/live/84085c3d1b09603389bf48dc01dd0490,aux_virtual,chzzk,아이온2,True,False,29,12,56.2,1593,701,135,29,161,50,30,16,18,15,False,False,False,True,False,0.02,0.01,True,False,False,False,True,virtual_peer
백은하,40aca7837479ddf92dcc4c1e57f30aed,https://chzzk.naver.com/live/40aca7837479ddf92dcc4c1e57f30aed,aux_virtual,chzzk,talk;엘든 링 황금 나무의 그림자;마인크래프트,True,False,50,19,115.3,1488,2209,140,50,136,37.0,29,29,22.0,23,False,False,True,True,True,0.03,0.01,False,False,False,False,True,virtual_peer
신짱게이밍,348542b853d10d1c6a4a5163a9977b52,https://chzzk.naver.com/live/348542b853d10d1c6a4a5163a9977b52,aux_virtual,chzzk,talk;종합 게임;역전재판 123 나루호도 셀렉션,True,False,35,12,78.2,992,1004,129,35,56,30,29,44,16,18,False,True,True,True,True,0.04,0.01,False,False,False,False,True,virtual_peer
서 세리,17751a1b432452e451a77c2a0fc8cf76,https://chzzk.naver.com/live/17751a1b432452e451a77c2a0fc8cf76,aux_virtual,chzzk,림월드;디아블로 4: 증오의 군주;talk,True,False,30,17,53.9,1511,923,130,30,43,27.0,29,33,19.0,19,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
모카형,52b2f7d78f07b3b175dbaaa3cb9abc85,https://chzzk.naver.com/live/52b2f7d78f07b3b175dbaaa3cb9abc85,aux_virtual,chzzk,스트리노바;이환;명일방주,True,False,47,15,604.3,2233,9545,146,47,34,24.0,28,23,17.0,20,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
쥬 지스네,1d2d2fb344a7b181d610650072ab7c3e,https://chzzk.naver.com/live/1d2d2fb344a7b181d610650072ab7c3e,aux_virtual,chzzk,talk;활협전;사니양 연구실,True,False,32,19,140.6,906,2717,121,32,33,25,28,31,19,21,False,True,True,True,True,0.04,0.02,False,False,False,False,True,virtual_peer
페피노,924a636224c9203259af46ad7d8b70ca,https://chzzk.naver.com/live/924a636224c9203259af46ad7d8b70ca,aux_virtual,chzzk,talk;성세천하: 여제의 탄생 Ⅱ;마이닝 머천트,True,False,43,18,111.0,1728,2096,109,43,35,25,28,38,18,18,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
주녑 Junyeop,69c9f82ea5a6e9141ae7de1d15506d11,https://chzzk.naver.com/live/69c9f82ea5a6e9141ae7de1d15506d11,aux_virtual,chzzk,talk;세키로: 섀도우 다이 트와이스;마법소녀의 마녀재판,True,False,46,17,113.5,1569,1940,113,46,50,32,28,18,23,21,False,True,True,True,False,0.03,0.01,False,False,False,False,True,virtual_peer
와무우TV,2f6c390e61a3bd09cafde6e75ac784e1,https://chzzk.naver.com/live/2f6c390e61a3bd09cafde6e75ac784e1,aux_virtual,chzzk,talk;Grand Theft Auto V;이환,True,False,34,21,90.1,1302,1927,142,34,35,27.0,28,29,21.0,21,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
미쳐버린 인노,2629ef26d6abd8cf1fa7d52e83ba3542,https://chzzk.naver.com/live/2629ef26d6abd8cf1fa7d52e83ba3542,aux_virtual,chzzk,마인크래프트;talk;이터널 리턴,True,False,41,20,60.5,1972,1214,103,41,39,21,28,27,15,17,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
배쨜이,8895df5b7733f26ccc6b4f54aeaa1072,https://chzzk.naver.com/live/8895df5b7733f26ccc6b4f54aeaa1072,aux_virtual,chzzk,메이플스토리;talk;고독방송,True,False,38,20,50.3,787,1043,51,38,49,28,28,12,21,20,False,True,True,True,False,0.05,0.03,False,False,False,False,True,virtual_peer
민하룽,03057fc06e3b182b3c28adbf23f6d3f6,https://chzzk.naver.com/live/03057fc06e3b182b3c28adbf23f6d3f6,aux_virtual,chzzk,talk;PUBG: 배틀그라운드;마인크래프트,True,False,25,15,65.5,2347,999,139,25,36,25,28,22,16,17,False,True,True,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
아울이네,aaab8f4e08ca394e4012936c8d445b6c,https://chzzk.naver.com/live/aaab8f4e08ca394e4012936c8d445b6c,aux_virtual,chzzk,로스트아크;마비노기 모바일;마인크래프트,True,False,31,15,63.9,473,973,131,31,50,33,28,27,17,22,False,True,True,True,True,0.07,0.03,True,False,False,False,True,virtual_peer
뭐 더 라,f9f5fda096ff44d36127036cd18b0db2,https://chzzk.naver.com/live/f9f5fda096ff44d36127036cd18b0db2,aux_virtual,chzzk,PUBG: 배틀그라운드;이터널 리턴;스타크래프트 : 리마스터,True,False,46,15,60.8,1556,971,133,46,69,41,28,12,19,18,False,True,False,True,False,0.03,0.01,False,False,False,False,True,virtual_peer
도둑밥 BOBDD,03bc1508b04c3fc4788af8bd0c9db08b,https://chzzk.naver.com/live/03bc1508b04c3fc4788af8bd0c9db08b,aux_virtual,chzzk,FC온라인;talk;축구,True,False,33,18,48.2,3165,882,137,33,47,29,28,38,21,20,False,True,True,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
람비,ce932a15aba8c9704355eb3422702ab9,https://chzzk.naver.com/live/ce932a15aba8c9704355eb3422702ab9,aux_virtual,chzzk,마비노기 모바일;방 탈출 시뮬레이터2;종합 게임,True,False,42,12,60.2,1643,779,139,42,74,36,28,32,22,19,False,True,True,True,True,0.03,0.01,False,False,False,False,True,virtual_peer
김오니,1083715618553e192668ef69c2bee0fa,https://chzzk.naver.com/live/1083715618553e192668ef69c2bee0fa,aux_virtual,chzzk,talk;나인 솔즈;007 퍼스트 라이트,True,False,44,21,126.6,1357,2725,144,44,43,30.5,27,22,23.0,20,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
나힝구,652abc4f57f73627fd3b63c1acb46735,https://chzzk.naver.com/live/652abc4f57f73627fd3b63c1acb46735,aux_virtual,chzzk,PUBG: 배틀그라운드;리그 오브 레전드;마인크래프트,True,False,41,15,136.7,1641,2166,145,41,41,27,27,33,17,15,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
수야언니,0298122d69a9b53d2dfc4c4e84d68a09,https://chzzk.naver.com/live/0298122d69a9b53d2dfc4c4e84d68a09,aux_virtual,chzzk,talk;종합 게임;마인크래프트,True,False,32,17,105.7,967,1820,121,32,37,30,27,29,20,23,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
모모시로 카나,ebcf5a40a4481db4ea55fabe798db5e6,https://chzzk.naver.com/live/ebcf5a40a4481db4ea55fabe798db5e6,aux_virtual,chzzk,talk;마인크래프트;서브노티카,True,False,38,11,135.8,825,1515,151,38,50,29,27,28,16,17,False,True,True,True,True,0.05,0.01,True,True,False,False,True,virtual_peer
단양 danyang,a86f1bab2b5f0f802c456deee0f2b547,https://chzzk.naver.com/live/a86f1bab2b5f0f802c456deee0f2b547,aux_virtual,chzzk,사이퍼즈;마인크래프트;talk,True,False,20,7,147.6,1013,1064,123,20,37,24,27,30,13,13,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
장요이,e1c29ad471fff4e804345cb21181efd0,https://chzzk.naver.com/live/e1c29ad471fff4e804345cb21181efd0,aux_virtual,chzzk,이터널 리턴;세피리아;종합 게임,True,False,40,12,77.3,1055,956,116,40,52,27.0,27,18,17.0,16,False,True,True,True,False,0.04,0.01,False,False,False,False,True,virtual_peer
백하얀,7f66725b90a90b53e60277333c8c4264,https://chzzk.naver.com/live/7f66725b90a90b53e60277333c8c4264,aux_virtual,chzzk,에이펙스 레전드;talk;프로젝트 좀보이드,True,False,29,15,48.8,1845,745,115,29,34,27,27,27,15,19,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
배 린 희,6445cd09811f4bbfd22e944d4d6c4b8d,https://chzzk.naver.com/live/6445cd09811f4bbfd22e944d4d6c4b8d,aux_virtual,chzzk,로스트아크;talk;레이튼 교수와 이상한 마을 HD,True,False,46,17,39.4,1099,708,135,46,41,29,27,41,20,21,False,True,True,True,True,0.04,0.02,False,False,False,False,True,virtual_peer
뀨냥냥,6fdb2087d2d7d0349d0c194cfe1be0d9,https://chzzk.naver.com/live/6fdb2087d2d7d0349d0c194cfe1be0d9,aux_virtual,chzzk,talk;종합 게임;PUBG: 배틀그라운드,True,False,31,15,289.3,1131,4588,117,31,31,21,26,26,17,21,False,True,True,True,True,0.03,0.01,False,False,False,False,True,virtual_peer
빵룽,5a5956351a81b8f52fdc1bb3fa9aaf5d,https://chzzk.naver.com/live/5a5956351a81b8f52fdc1bb3fa9aaf5d,aux_virtual,chzzk,리그 오브 레전드;몬스터 헌터 월드: 아이스본;헬다이버즈 2,True,False,36,18,245.2,1194,4523,135,36,33,25,26,23,18,20,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
