layer,name,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d
C,퀸슈아,658.2,659,471,845,100.8,100,44.2,4454.3
C,베르체 Verce,585.4,787,472,598,146.9,84,44.1,6473.7
C,지원이어서오고,524.6,545,473,566,153.2,126,44.1,6749.0
C,솔 아,403.8,401,475,334,275.8,181,43.7,12050.7
C,로쥬마리,407.6,470,476,308,312.6,151,43.6,13631.4
C,일오 채널,440.8,694,477,278,359.1,96,43.5,15638.1
C,족제비와토끼,446.2,549,478,363,255.7,125,43.5,11126.2
C,좋은나날,415.8,343,480,388,240.6,250,43.1,10375.8
C,드얌,468.4,796,481,292,341.7,83,43.0,14689.6
C,나팔뿝뿌,527.4,419,482,627,141.9,174,42.9,6091.8
C,유다히,685.8,949,483,757,116.6,69,42.9,5001.6
C,얀즈,489.8,555,484,463,196.4,123,42.9,8420.1
C,서다흰,542.4,598,485,572,156.1,113,42.7,6672.5
C,슬묘,450.8,348,487,466,197.0,244,42.5,8380.5
C,월야화랑,619.4,749,488,686,129.7,89,42.5,5516.5
C,유 리앙,396.4,380,489,312,315.0,197,42.5,13391.9
C,쨈하니,542.4,694,491,518,175.8,96,42.5,7470.6
C,스바루 Subaru,506.4,872,494,336,284.6,76,41.8,11892.3
C,모리 Mori,444.8,584,495,325,299.9,115,41.6,12469.8
C,라망 Lamant,700.2,949,496,780,116.7,69,41.5,4846.6
C,이운비,391.2,246,497,358,270.3,360,41.4,11191.0
C,이토 제로,465.2,584,498,373,264.5,115,41.1,10873.1
C,정레나,537.8,521,499,585,161.6,133,40.8,6597.2
C,10송,495.0,635,501,419,238.8,106,40.3,9629.6
C,콘야 유메이,441.6,584,502,310,337.3,115,40.2,13546.2
C,망크빵,436.6,449,503,364,277.0,159,40.1,11111.8
C,시공보이,630.2,603,504,770,121.8,112,40.1,4882.6
C,차차엘,422.8,574,505,265,411.3,118,40.0,16453.1
C,와조킨치,562.6,741,506,530,180.9,90,39.9,7219.5
C,별빛스즈,634.6,901,507,629,153.0,73,39.7,6075.7
C,꼼지라쿠,575.2,672,508,594,163.4,98,39.7,6488.3
C,아세비,597.6,796,509,587,165.7,83,39.5,6544.4
C,아리스마나,494.0,542,512,452,220.9,127,39.4,8702.5
C,카루메,421.6,300,513,391,263.6,301,39.1,10313.8
C,꽃분홍,568.6,787,516,512,193.8,84,39.0,7553.8
C,냐페르,619.0,549,517,756,128.8,125,39.0,5018.8
C,김네네1,608.4,474,518,766,126.2,148,38.9,4907.8
C,반팽,587.0,503,519,697,140.7,139,38.8,5460.6
C,세레나 Serena,518.6,515,520,519,193.8,135,38.5,7469.1
C,차니0110,525.8,839,521,374,282.4,79,38.5,10872.6
C,루아 블루벨,516.8,672,522,434,235.4,98,38.5,9061.6
C,갈 구 리,723.6,1048,523,762,128.3,62,38.4,4933.0
C,온유 ONUU,466.6,563,524,361,290.6,121,38.4,11150.3
C,마나세 냐쿠,553.8,831,525,444,230.4,80,38.4,8838.1
C,서몽 ILLUSION LIVE,562.6,839,526,461,220.5,79,38.3,8438.8
C,카야 KAYA777,651.6,1032,527,586,172.3,63,38.2,6580.1
C,치쿠사마,490.2,635,528,380,283.5,106,37.9,10737.2
C,오츠 글라디우스,601.0,629,529,659,154.3,108,37.8,5826.5
C,미 츠,545.8,545,530,562,179.5,126,37.7,6775.5
C,feviknight 페비나이트,688.4,434,531,973,100.2,168,37.7,3774.1
C,추봉이 Chub,716.0,808,533,853,116.8,82,37.6,4387.8
C,백도화님,604.6,611,534,672,151.9,111,37.6,5706.2
