channelId,follower
981f18d74bceeb1972197209b7400fc4,19083
053101af87b327b3e636353a7c4c4905,4696
0bd59e5f864251961191315e9efecaf1,3048
c18e4d94b364804232f017f85e66299e,4993
74a2d3bb7aa1b0503e21bf58e61bfcc1,3868
6ddd2ff1d43ae1e23e04e72409e40d84,5053
a872c0594e60f943748d76c565dd3a07,2362
b5b18dc043cbf37ee67e4615687b8f77,9091
fc1141b66bf941e151e467ceef713acc,13018
9e95bfd2c9295ffa6f60dcb1e227af62,1414
6086f17b054010b0657af00aff6e6d05,12520
6270b80533a0d60976d9cd5619024980,3113
1963bb156cd9a572916827d4fef7516e,2733
6083cd428f4fe0a2c3c806917827e310,3475
216f493f2e25392dd67a7cbf79f263bb,1202
491e397278e313b59c62b4526c1b4200,4236
2c7bd68315677b7d67314235e136d058,2496
f795b445d35db5ece3d1d614c1355def,2914
b54e6349785f789d10edc822c0ef4b89,1377
227b431ef15d1085ba29f54b8a7048fd,7141
8da2cbae1c627fab3477abfdc9e119bc,4284
82ece76b683398c8d8d5e2add3360f02,12016
e008490d3464797704feac3b9ad8fe67,4952
da098b7b6def60b21ba450c110bf5239,3081
33d58e8eb2014d6e6c5eb74dcc587ebd,14845
2f838d7918af82397837de6ea7b9715b,1608
7efc4ef99cec0b3d2cb5cd844903d282,592
cd032bc69d4f683e3c645a8d3fc20d42,3275
60cc882aeddeef86f0bb738fd9e079f3,2294
a1e084f0c69d53fa135688f4911a04db,2794
73d006ad5ed12000547433ed33a68247,2940
baba7db944bf727c82747e3fc2fa3c4d,2185
aa37bbdad4f5f9097bbee2faa3e511f7,857
d3feaaee7b98d56475dad56e9ab73827,9648
4ea75a0d255c7b40f5cbb2a350ea01b8,2711
be3d3c52d16ccb8ce8e5e33dca7f09a0,3529
5a9a50c3d7c5f5720b050e230d3306dc,6480
7f5ce470dbc71195d99704422a02992b,1280
cc0a2ad99af54e3d49c3bcfa2ed7066c,1178
e613f09589340e95284ec220d90c4470,931
28087efd3897d10dc58de6c6334f8110,1866
d7fcdd7413c90d58e81f4720273795b2,3734
97bf6a96e19616aba1a5f95e5dc0a901,2939
b20c3fe90315b3b88964dbe9dea7f27a,7595
37ac1f698a0c99c9341f8dc27e84b4f9,932
424db00719df9531e9e0534851725c6d,4840
0be2463dd64b33d112655a76cf6be7ea,5621
a9ce5b5e9afd1dfdf99df0ef228b7d1c,719
48e5feb0e35749b750965c559b6590dd,1100
e0148650aafbdd530cec9b97251db8c5,4536
ba171336221a7fc1ac069b2fc7e7edaf,2836
b770b78c6187e716e6b4530597e09522,2787
67e3903479d8025e9df3e743e348de1d,2392
bef4ad50f587b53403bf5235d9aa7fcc,1893
5fb53f10e2fe2dfe77cb2cc007d63c42,1906
1162f959f6cc26814d16f5d364d43a06,1878
79d0b29819d33db4b3309584b789c4d6,1173
6c60ddcd83b2543a4a339a79fbdbb949,1032
afd12ea904a658d888db3a8353d6a160,425
1222205011fdd76b663d7b082effcc38,4303
1167f646012d19167d57243cb1d7d938,10179
4a33d0caaecfe788df26c9d1e5abdaaf,775
dc132ee274a3c2034db4e6e188aa4bed,9208
8f1942d6145656362a585633bc646e53,2733
5d6a0908bb4eac47f3d839cbffe60961,623
07b9e4102fb92e546a3aff932babea08,472
f36366e55da4225c6e1512e5cffffb28,305
4719905f955b76f5a7e741fa81f6ae1a,707
531a13d0f6e13972eb37775768d1410d,1864
4f8439f250042ac377b903cda29b150f,2399
2971340b547cf76dad2876252f2204f7,735
960e31e711e3cc40c506e4ad8208620a,927
82502a15d0293caab3d8f90fb1713530,2534
3c2e52138d5b7fd1c1b750df807b8fc0,2942
cfc5f779ee9d5c6c75bc3b3e821019a4,9228
0f1f0c0fe364b645ba99d8498160c87f,3465
12b5a1a9d67d0a5c9f4e5bb1ed3d8d57,3299
07d0b756965acfb5fee4042f7ec180d0,1663
b7274c0f22d28001a882b950d5a18404,798
e7dd05e9358afe9aa4749b68f1221776,4405
7e18f0af4b6bdb8d8629a89ade81acba,7771
dac66ac2fc9b0d075ca026b136341570,4021
eab61479d66b760507248cdb12c928db,2391
8729b4ac10b8fb5b95f489f4c243b181,3722
ecc04d89c41debfdcf44a127498877c7,3200
2f15b1272b730b79a43a0bddf3b5d1dd,4368
d4fc89f1bd230269df6fd8871902c750,417
9a7a3c0277c0732aa6a4a81bb4be1f19,1008
038a80933dc75a1373a45c1974972abf,3615
a57df5bebba78db17189b24b54d5a2e4,1798
7edea32c0c19842f07c6a1e323a5b15a,1249
1ddbc0a60a6a3289c2873ed6b43b20af,4047
c4355058a6bae351ca229b38c0db4a2c,2126
54cf8e05daaaa9577ad0f211d495dc95,2316
1296a4df3696511c2239cf641cfd0fd0,3130
1b40bbae0ca59f99cd21cf6a1061699f,1100
48a7287b7387803823c221f02558b325,4051
