name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,exclude_reason
빵짱,chzzk,062c2bff9cf6245da75b54a70d2d0fe9,1007,9,98,17,151,442,하위(74-148),전략적 팀 전투 : 우주의 신들,44.7,리그 오브 레전드,24,다크 소울 2,9.7,10,unknown,
트할_,soop,poos69,1028,2.4,84,61,146,86045,하위(74-148),발로란트,64.5,메이플스토리 월드,24,마인크래프트,10.8,4,true,
샘승아,chzzk,0caf7d9d72b6d9341d09e7a454763849,1046,1.3,123,109,141,7864,하위(74-148),talk,83.5,성세천하: 여제의 탄생 Ⅱ,3.7,성세천하: 여제의 탄생,2.6,13,false,
우고님,chzzk,0497abdec021273e9ce103500285b9aa,1068,2.4,82,57,138,14232,하위(74-148),talk,46.3,점프 킹 퀘스트,11.6,서브노티카 2,8.3,23,unknown,
Patiizz,soop,patiiz,1114,1.5,98,85,128,738,하위(74-148),그랜드 테프트 오토 V,68.4,종합게임,27,발로란트,2.7,6,true,
닝냉뇽,chzzk,eef3f5d5d6b7fd4c7ee36b13c330fec0,1115,2,98,64,127,3434,하위(74-148),명조:워더링 웨이브,44.4,이환,16.9,명일방주: 엔드필드,14.6,14,true,
루코 RUKO,chzzk,df4fb2f6e3d593f9d1c19f4cfcbe2f1e,1121,1.1,148,115,126,16172,하위(74-148),야구,47.7,talk,36.5,PUBG: 배틀그라운드,12,4,unknown,
닌닌_,soop,nnininin,1146,1.5,85,80,121,29366,하위(74-148),버추얼,44.8,종합게임,15.8,은혼,12.4,9,true,
루루카 RURUKA,chzzk,99b6020d619b9aac132920604cee8ca1,1157,1.3,121,91,118,24408,하위(74-148),talk,19.2,PUBG: 배틀그라운드,18.3,리그 오브 레전드,16.1,16,true,
포니92,chzzk,560651bcf90a9399dbe79c6bd2ebbf0e,1267,4,75,25,102,6994,하위(74-148),리그 오브 레전드,55.9,명조:워더링 웨이브,28.2,talk,11.1,7,true,
어스키,chzzk,efe7af7e2626286a1240f00dc865f21e,1347,0.7,151,126,89,2533,상위(149-296),talk,37.4,오버워치,17.5,포르자 호라이즌 6,10.9,14,unknown,
킹발젭,chzzk,56ccd5e4bd7b4d39085cb8569cbe7b7b,1383,1,96,85,85,14214,하위(74-148),talk,51.3,리그 오브 레전드,32.3,홍콩실록,16.4,3,false,
롱다리코치,soop,ksh0162,1470,5,132,15,77,2726,하위(74-148),LCK,93.4,Road to EWC,5.3,기생수,0.7,6,unknown,is_esports_content
루태,chzzk,4a1eb484a0e13d256944e9fe5d8b4f67,1572,0.7,156,99,70,20264,상위(149-296),메이플스토리 월드,61.1,마인크래프트,12.4,로블록스,10.6,7,true,
리하우1,chzzk,885c7c7b782ddc5c4a958ddc52bf9082,1589,1.3,83,53,69,1870,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
히요코,soop,hiyoko040,1595,1,81,68,68,21223,하위(74-148),음악 라이브,90.1,리그 오브 레전드,5.8,기생수,3.6,4,unknown,
꽃빈,chzzk,ec63f122d921707806fc27e42c7a997d,1785,0.5,126,109,55,34314,하위(74-148),talk,63.1,성세천하: 여제의 탄생 Ⅱ,13.8,아이온2,9.6,9,false,
우태,soop,qkrdnxozz,1842,1.2,99,43,52,5299,하위(74-148),메이플스토리,91.7,리그 오브 레전드,5.6,LCK,2.8,3,false,
odd+,soop,58774485,1844,0.8,123,65,52,5317,하위(74-148),리그 오브 레전드,100,발로란트,0,,0,2,false,
강찹쌀,chzzk,d2d6bff631fc1c3a613440d3b17f8088,2481,0.5,77,56,28,11369,하위(74-148),talk,94.1,리그 오브 레전드,5.9,,0,2,false,
