channelId,name,tags,sumLiveViews,viewership,maxLiveViews,avgLiveViews,airTime
c8adce2ff4a3618931e07c327e1fa070,"포키쨩",virtual;mktalk15,168946,16894,478,217.1542416452442,77.8
5c897b3e639045ca6e314bbaff991f73,"비올레타 모네",virtual,76965,7696,725,322.02928870292885,23.9
dd6cf0d465dae40bc4a83f78abd58352,"아미하 유네",virtual,130286,13028,447,253.96881091617934,51.3
a9b2d7249243fc9edbb2dada5623cb8e,"하우카우uuu",virtual;mktalk15;leopel,100729,10072,489,251.8225,40
16267ae4675f980df5e77bafea37495f,"이보늬",virtual,80386,8038,722,256.0063694267516,31.4
8ecadcb05be3f97875b5aa3d8ced1347,"김앵고",virtual,102132,10213,458,252.8019801980198,40.4
0eba448275bccb294ceb88ddeb90f800,"아야 AYA",virtual;mktalk15,112666,11266,451,247.6175824175824,45.5
371259eaf5ec1635b4807b612272f431,"연비니",virtual,74987,7498,719,281.906015037594,26.6
0a808138cc8c96ab9756935b964c1bf7,"먀뮤뮤",virtual,130897,13089,473,197.7296072507553,66.2
68f895c59a1043bc5019b5e08c83a5c5,"라디유",virtual;mktalk15,55920,5592,763,380.40816326530614,14.7
d7c83d4ce76a835ba79e27e5e46cb3e2,"위도",virtual,78818,7881,698,248.6372239747634,31.7
95a050b9250958bec51343e5ae24b8f4,"박도나",virtual;mktalk15,92978,9297,510,227.88725490196077,40.8
f638e750b76165c23e4f1530c166df1a,"츠밍",virtual;mktalk15,119442,11944,378,227.07604562737643,52.6
a9ee9a98bf5170d4b4dfb23ef8e4676b,"후참",virtual,98322,9832,541,216.09230769230768,45.5
643d491a022eaf3991f0576c7a2a97d4,"서애덕",virtual,71942,7194,486,297.2809917355372,24.2
e87999abca4fd0c3214e05ef414ce951,"야토 Yato",virtual;leopel,91048,9104,709,187.72783505154638,48.5
4f891095bc91025428ba2e8c375ef86c,"하루토",virtual,53452,5345,562,398.8955223880597,13.4
2564aae6bb474dd58c22023afa4cbe72,"이무지",virtual,120856,12085,399,197.47712418300654,61.2
57c917f1bc650791d8ca3fec1ebcca18,"유봄냥",virtual;tbaroselena;mktalk15,84828,8482,588,216.95140664961636,39.1
