name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
야시로 YASIRO,naverchzzk,d6e680f5b17eba0b078f978dd722c0f3,134,7.5,37,30,223,3694,31-40,talk,52.3,종합 게임,15.5,마인크래프트,12.2,8,false,talk_primary,,sample_1_peak_10_50
리키리킹,naverchzzk,063fc5a0287c24c218e32e44325f385e,136,30.5,14,7,220,374,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
카야jamkaya,naverchzzk,b3a37808768b364fbcf5a5a42421124a,137,28.2,25,8,215,311,21-30,오버워치,28.2,종합 게임,15.9,이스케이프 더 백룸,6.9,25,true,multi_game,,sample_1_peak_10_50
띵진이,naverchzzk,85527008aabf2458456aab0554a81879,142,11.8,25,17,201,373,21-30,월드 오브 워크래프트: 한밤,88.8,종합 게임,10.0,talk,1.1,4,false,single_game_dominant,,sample_1_peak_10_50
뇽자,naverchzzk,14fd4427ab76277bee9567d27dcbf0e8,143,9.4,25,21,196,1928,21-30,파스모포비아,34.7,아이온2,32.4,종합 게임,20.6,7,true,multi_game,,sample_1_peak_10_50
아마노 미오,naverchzzk,f62e2d67324308ec59e009134d9f8a42,146,10.9,27,18,195,1788,21-30,talk,51.4,몬스터 헌터 와일즈,11.3,음악/노래,4.3,26,false,talk_primary,,sample_1_peak_10_50
해 다,naverchzzk,8d2a6539c9b0570f9d69c8539eebeb69,147,6.7,47,29,194,729,41-50,talk,26.3,서브노티카,22.3,이환,15.5,12,true,multi_game,,sample_1_peak_10_50
당근카렌,naverchzzk,8e21a4713ba6372e6c5a98c3f7160824,148,7.5,38,26,193,11292,31-40,PUBG: 배틀그라운드,45.2,이터널 리턴,41.0,종합 게임,6.3,7,true,multi_game,,sample_1_peak_10_50
쫑 민,naverchzzk,1703c76cfc62ebee9254a6fd2ef83b2a,149,6.7,35,29,192,6717,31-40,PUBG: 배틀그라운드,67.1,에이펙스 레전드,13.9,talk,5.4,10,false,single_game_or_non_game,,sample_1_peak_10_50
김더미,naverchzzk,a1c82f5477f4c1c96ef409fc115a3e19,151,6.6,39,29,190,2435,31-40,종합 게임,32.9,페글린,18.3,더 바자르,11.4,11,true,gg_primary,,sample_1_peak_10_50
드알,naverchzzk,4698c456176e3b68d56edb55f338c4a2,152,10.8,26,17,188,1229,21-30,talk,62.9,종합 게임,27.5,PUBG: 배틀그라운드,4.9,5,false,talk_primary,,sample_1_peak_10_50
서농,naverchzzk,d6b3c991c7b19aa02bb08232d8b877a6,156,24.6,15,7,180,2529,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
딸기주스한잔,naverchzzk,7a5cab154fdea558f65c865aef6a8b39,157,9.3,31,18,170,1046,31-40,데드 바이 데이라이트,89.3,종합 게임,6.4,매디슨,1.6,9,false,single_game_dominant,,sample_1_peak_10_50
