name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
0유이린0,naverchzzk,2a8712b58b30da8cee6695d2bcf028bf,461,2.4,19,16,39,853,16-20,스타 시티즌,98.2,종합 게임,1.0,X4: 파운데이션,0.8,3,false,single_game_dominant,,sample_1_peak_10_50
댕맹,naverchzzk,8fc0f6e93501c61c9ec64a6d4c7e22e1,463,2.4,21,16,39,1137,21-30,talk,93.2,종합 게임,6.8,,,2,false,talk_primary,,sample_1_peak_10_50
잼내미,naverchzzk,6f689ad550a705bee880f6b91aa4dc8b,464,4.3,13,9,39,363,10-15,고전 게임,29.8,종합 게임,22.7,이환,21.9,9,true,multi_game,,sample_1_peak_10_50
은아지,naverchzzk,b0de2c68613b549949fb1ab92c99995b,465,4.9,13,8,39,295,10-15,종합 게임,87.2,talk,12.8,,,2,true,gg_primary,,sample_1_peak_10_50
아모크 amock82,naverchzzk,db2ca573fc707c43449500d0cfc3740c,466,3,18,13,39,4326,16-20,리그 오브 레전드,45.1,검은사막,43.6,종합 게임,11.3,3,true,multi_game,,sample_1_peak_10_50
듀 콩,naverchzzk,e3f1c85f98803a8a0f4187840ec6b862,467,1.4,37,27,38,1026,31-40,포켓몬스터 리프그린,33.1,포켓몬 포코피아,22.4,talk,22.1,5,true,multi_game,,sample_1_peak_10_50
푸하PooHa,naverchzzk,d52a1590fe8cb87e4afc3714e453864f,468,7.1,10,5,38,194,10-15,스타크래프트 : 리마스터,35.0,메이플스토리 월드,34.4,스타크래프트 II : 공허의 유산,11.5,12,true,multi_game,,sample_1_peak_10_50
강여울yeoul,naverchzzk,4d102ecb54892e3bb9b32e2cdd91e9d6,470,3.1,16,12,38,576,16-20,리그 오브 레전드,57.0,마인크래프트,21.2,전략적 팀 전투 : 우주의 신들,8.0,8,true,multi_game,,sample_1_peak_10_50
은시오,naverchzzk,2ef658dacd68d7f5a8ab1b3c6bde4efe,472,5.3,10,7,37,310,10-15,종합 게임,33.2,talk,31.1,이터널 리턴,27.9,6,true,gg_primary,,sample_1_peak_10_50
우리동동,naverchzzk,31c69161e89543693805af8d5bd3c384,475,2.4,26,15,37,494,21-30,talk,30.6,음악/노래,21.6,종합 게임,9.3,8,false,single_game_or_non_game,,sample_1_peak_10_50
쿨타CoolTa,naverchzzk,558bb6516f96eacefad1de2950bde84d,478,1,40,37,37,10467,31-40,talk,33.8,림버스 컴퍼니,14.1,서브노티카 2,11.4,21,false,single_game_or_non_game,,sample_1_peak_10_50
빠쿄,naverchzzk,43183746563729d5b47c0180ae2bfa53,479,5.4,14,7,37,120,10-15,종합 게임,92.9,talk,7.1,,,2,true,gg_primary,,sample_1_peak_10_50
유 ㄹr,naverchzzk,8b04eacf77814a57a740369783a9b898,483,5.3,10,7,36,230,10-15,talk,36.4,음악/노래,27.2,PUBG: 배틀그라운드,11.8,8,false,single_game_or_non_game,,sample_1_peak_10_50
원두김,naverchzzk,8414921d3832f2ea0faed6291600c415,485,3,14,12,36,922,10-15,패스 오브 엑자일 2,61.2,메이플스토리 월드,32.6,종합 게임,2.5,9,true,multi_game,,sample_1_peak_10_50
메미리냥냥,naverchzzk,8fe52a88d3d847d6fe21df3b3784f276,486,5.5,12,7,36,856,10-15,메이플스토리 월드,67.8,던전앤파이터,20.4,메이플스토리,6.4,6,true,multi_game,,sample_1_peak_10_50
토모다치,naverchzzk,89a93878d2be90084d59a4545042493f,491,3.2,15,11,35,307,10-15,talk,34.2,서브노티카 2,23.8,VR챗,13.7,9,false,single_game_or_non_game,,sample_1_peak_10_50
땽땽,naverchzzk,a639227231fc64bcfa7490c3706a347a,492,3.9,15,9,35,236,10-15,talk,63.6,종합 게임,20.4,이환,13.0,5,false,talk_primary,,sample_1_peak_10_50
도리찹,naverchzzk,e11eb90cdeaead6cc22fd03779373c5a,494,4.7,11,7,35,1283,10-15,발로란트,34.0,마인크래프트,25.4,PUBG: 배틀그라운드,15.6,16,true,multi_game,,sample_1_peak_10_50
힉키연,naverchzzk,1659201d9fabaf57a5089ccb9ee469d2,497,5.3,10,7,35,1642,10-15,로스트아크,82.1,007 퍼스트 라이트,6.5,마인크래프트,3.8,7,false,single_game_dominant,,sample_1_peak_10_50
나능요,naverchzzk,235450dbfb4401df3a1ab642c9f2f342,498,4.6,11,8,35,293,10-15,바이오하자드 빌리지,14.0,아웃라스트,11.8,더 다크 픽처스 앤솔로지: 하우스 오브 애쉬,11.4,16,false,single_game_or_non_game,,sample_1_peak_10_50
unknown,naverchzzk,76c635a11ab1fab572c1849d9eb60ed8,499,4.9,12,7,35,399,10-15,talk,47.8,종합 게임,44.6,헬로 키티 아일랜드 어드벤처,4.0,6,true,gg_secondary,,sample_1_peak_10_50
unknown,naverchzzk,e09bbe0aa3bec9df6f181efc634eb281,500,3.5,12,10,35,495,10-15,스플래툰 3,42.4,그림/아트,28.5,종합 게임,24.7,4,true,multi_game,,sample_1_peak_10_50
므담,naverchzzk,34fb30b1985b85d57675c60113367089,502,3.3,14,10,35,764,10-15,talk,56.5,종합 게임,22.6,철권 8,8.8,8,false,talk_primary,,sample_1_peak_10_50
유메사키 유즈,naverchzzk,8a1fcaa6cc114ca1662cdad86041bfd8,503,2.4,18,14,34,1363,16-20,talk,29.9,붉은사막,18.8,명조:워더링 웨이브,14.5,15,false,single_game_or_non_game,,sample_1_peak_10_50
페피노,naverchzzk,8bca5c02ddc6c5a8ae9d0867a9ed8c50,505,2.4,20,14,34,864,16-20,데드 바이 데이라이트,54.7,talk,15.6,바이오하자드 레퀴엠,14.2,7,false,single_game_or_non_game,,sample_1_peak_10_50
희 야,naverchzzk,c85522130a50966f9624b4650a66b5d5,506,2.7,16,12,34,1138,16-20,데드 바이 데이라이트,87.8,오버워치,7.7,talk,2.3,4,false,single_game_dominant,,sample_1_peak_10_50
루 엘리야,naverchzzk,8c627607e27d65bd775fb28ce540f378,510,2.8,15,12,33,877,10-15,마인크래프트,43.2,talk,36.7,블루 아카이브,10.1,9,false,single_game_or_non_game,,sample_1_peak_10_50
겠냥,naverchzzk,1c9c8aebbba5f1bc0fdf5fa237a01130,512,3.9,10,8,33,439,10-15,마인크래프트,47.1,종합 게임,20.5,리그 오브 레전드,8.9,10,true,multi_game,,sample_1_peak_10_50
필통님,naverchzzk,2b981938a97e5ec827cb66cfe5208759,513,1.7,26,19,33,783,21-30,마비노기,77.0,블랙 소울즈 II,7.2,블랙 소울즈,3.7,11,false,single_game_or_non_game,,sample_1_peak_10_50
푸콩이,naverchzzk,43341c5abdd1fb6b3645d195977a1c10,514,1.4,31,23,33,821,31-40,talk,63.1,블루 아카이브,13.6,음악/노래,11.0,10,false,talk_primary,,sample_1_peak_10_50
연 후,naverchzzk,1e546b3f42edad3012dc8a64eca1668d,515,4.1,11,8,33,505,10-15,마비노기,70.6,talk,10.0,그림자 복도,5.3,9,false,single_game_or_non_game,,sample_1_peak_10_50
키미밍,naverchzzk,0a66bfb1e2630e459cab1218c84bc1c4,516,1.8,24,18,33,2073,21-30,서브노티카 2,24.2,씨 오브 시브즈,22.2,백룸: 이스케이프 투게더,16.1,7,true,multi_game,,sample_1_peak_10_50
유나 Yunaa,naverchzzk,df94b14a6fc0526c9a611b02ffa33f28,517,3.5,13,9,32,336,10-15,발로란트,43.4,마인크래프트,18.9,talk,13.3,8,true,multi_game,,sample_1_peak_10_50
껌꾸,naverchzzk,5da7e72088bf9aba5cff61f311e0ca0d,519,6,10,5,32,150,10-15,음악/노래,71.2,talk,11.1,종합 게임,9.9,7,false,single_game_or_non_game,,sample_1_peak_10_50
소소담,naverchzzk,d27aa8b36153469303374ef5c695f0f7,522,2.8,16,11,32,134,16-20,스타크래프트 : 리마스터,31.2,P의 거짓,14.7,talk,14.7,12,false,single_game_or_non_game,,sample_1_peak_10_50
G띠,naverchzzk,ce614dfe7f8a59daee3177cf8752e4a6,523,2.5,17,13,32,1525,16-20,talk,40.1,프래그마타,33.5,니디 걸 오버도즈 : NEEDY GIRL OVERDOSE,9.7,7,false,single_game_or_non_game,,sample_1_peak_10_50
페리2,naverchzzk,bbbcc4a89ad406826a1d0e4a74ad19cd,525,3.5,12,9,32,2096,10-15,talk,27.1,ASMR,21.3,시드 마이어의 문명 VI,14.7,12,false,single_game_or_non_game,,sample_1_peak_10_50
제 디,naverchzzk,2c0d12b9bf630b9ef1e018247a6cea98,527,4.5,10,7,32,726,10-15,talk,71.3,성세천하: 여제의 탄생 Ⅱ,11.1,종합 게임,4.6,9,false,talk_primary,,sample_1_peak_10_50
루다니,naverchzzk,06a49a5d30180ebdde03d03049495d42,528,2.9,15,11,32,424,10-15,메이플스토리 월드,96.8,아이온2,1.5,종합 게임,1.3,4,false,single_game_dominant,,sample_1_peak_10_50
빛나람 starnaram,naverchzzk,c25ff79ec44b787a4064b2908531048c,529,5,10,6,32,768,10-15,talk,18.2,백룸컴퍼니,10.7,아웃라스트 2,10.4,17,false,single_game_or_non_game,,sample_1_peak_10_50
화렛,naverchzzk,40aaacd9eed9de2c511f23070f70c9d1,530,1.6,24,20,32,13155,21-30,발로란트,84.9,오버워치,8.1,종합 게임,3.2,6,false,single_game_dominant,,sample_1_peak_10_50
세페일,naverchzzk,54898fb2e56f7cd2532c0e4e51149d65,531,3.9,12,8,31,368,10-15,그림/아트,67.2,talk,21.1,종합 게임,9.4,4,false,single_game_or_non_game,,sample_1_peak_10_50
유 리 구 두,naverchzzk,5ce0d592f7692ab7653d1b9cef0c8e60,532,2,23,16,31,144,21-30,그림/아트,56.0,talk,33.3,종합 게임,9.7,4,false,single_game_or_non_game,,sample_1_peak_10_50
아류Ahryu,naverchzzk,fad981710a240c690f46d635231a3e78,533,2.1,18,15,31,795,16-20,검은사막,93.0,레드 데드 리뎀션 2,2.0,리그 오브 레전드,1.4,8,false,single_game_dominant,,sample_1_peak_10_50
연 하젤콩,naverchzzk,859b9f31e95c66296b8db536a97a3178,534,5.8,10,5,31,514,10-15,talk,63.0,코어 키퍼,16.1,종합 게임,10.2,5,false,talk_primary,,sample_1_peak_10_50
챠이로 쿠냐,naverchzzk,cccbb46dc713d793a747c00ea15129c1,535,4,12,8,31,1763,10-15,talk,28.6,림월드,22.0,리그 오브 레전드,13.2,10,false,single_game_or_non_game,,sample_1_peak_10_50
앗 구,naverchzzk,97c69a12835bba786fb82f2c849f2ba8,536,1.8,21,17,31,803,21-30,talk,67.3,음악/노래,14.3,레이튼 교수와 악마의 상자 HD,4.0,13,false,talk_primary,,sample_1_peak_10_50
한나금,naverchzzk,5992c0c83aaec4f64199fb265e0285ec,538,3.1,13,10,31,1028,10-15,talk,28.7,마비노기,17.8,이환,16.3,18,true,multi_game,,sample_1_peak_10_50
병건2,naverchzzk,7775af976e6944c8e700e53dfdba1d98,539,1.2,32,26,31,1232,31-40,오버워치,60.8,세키로: 섀도우 다이 트와이스,10.4,바이오하자드 레퀴엠,10.2,9,false,single_game_or_non_game,,sample_1_peak_10_50
크트리25,naverchzzk,ae6697767b55d8a88facd21aae2d027d,540,3.3,12,9,31,342,10-15,두근두근타운,68.9,종합 게임,17.3,007 퍼스트 라이트,12.0,4,true,multi_game,,sample_1_peak_10_50
유헤아,naverchzzk,e0148650aafbdd530cec9b97251db8c5,543,2.2,17,14,31,4455,16-20,로스트아크,88.4,마인크래프트,5.5,PUBG: 배틀그라운드,3.2,5,false,single_game_dominant,,sample_1_peak_10_50
하필인,naverchzzk,a0b8950c7ada047a6ea957b46f325579,545,2.4,17,13,31,375,16-20,러시안 피싱 4,28.5,붉은사막,19.7,PUBG: 배틀그라운드,11.8,9,true,multi_game,,sample_1_peak_10_50
쬬호호,naverchzzk,8f52a7daca1c72330f80b92babd2f560,550,2.7,15,11,30,980,10-15,로스트아크,56.9,메이플스토리 월드,8.8,talk,8.6,17,false,single_game_or_non_game,,sample_1_peak_10_50
피아노캣 PianoCat,naverchzzk,3fdc985be3bad369225118e6d8dc496b,551,5.8,15,5,30,979,10-15,미나 더 할로워,34.3,종합 게임,31.1,젠레스 존 제로,10.6,8,true,multi_game,,sample_1_peak_10_50
서아윤,naverchzzk,e2f91d088c9bbcd1fce2924ff3f58226,553,1.5,25,20,30,1698,21-30,PUBG: 배틀그라운드,31.0,서브노티카 2,15.3,리그 오브 레전드,14.6,13,true,multi_game,,sample_1_peak_10_50
김렝지,naverchzzk,59e6772077fff1d814c53c95985245a5,554,4.5,12,7,30,1816,10-15,마인크래프트,30.3,PUBG: 배틀그라운드,28.0,리그 오브 레전드,12.5,13,true,multi_game,,sample_1_peak_10_50
렛도호도,naverchzzk,520707ca325f88e232932cf638223f00,557,1.7,22,17,30,565,21-30,talk,56.4,음악/노래,15.8,종합 게임,14.3,4,false,talk_primary,,sample_1_peak_10_50
2roo,naverchzzk,7d842772eb66fb20f402f233d3ce8e46,558,4.6,11,6,30,235,10-15,히어로즈 오브 더 스톰,81.0,talk,9.0,몬스터 헌터 와일즈,5.8,7,false,single_game_dominant,,sample_1_peak_10_50
당당구리1220,naverchzzk,be5d181903ee47f221720ce3647ab0d1,561,3.3,12,9,29,187,10-15,히어로즈 오브 더 스톰,82.4,P의 거짓,3.1,멧챠 카멜레온,3.0,13,false,single_game_dominant,,sample_1_peak_10_50
정묘린,naverchzzk,18d0068dc0c847327191d84e86c20180,562,4.2,12,7,29,259,10-15,종합 게임,73.0,귀귀살전,7.9,백룸컴퍼니,7.1,5,true,gg_primary,,sample_1_peak_10_50
자양화,naverchzzk,7d82cfea7545107e3dd0379c885cb0e0,563,4,12,7,29,1030,10-15,로스트아크,35.9,마인크래프트,25.2,오버워치,12.3,13,true,multi_game,,sample_1_peak_10_50
프라즈냐,naverchzzk,42956fe0a0af5cea4fce3fa5721fe2f9,566,1.8,21,16,29,6431,21-30,발로란트,69.9,talk,20.3,종합 게임,4.4,6,false,single_game_or_non_game,,sample_1_peak_10_50
눈잔비,naverchzzk,3415c51b7ef2ff82bcc19e924d29d5aa,568,1.6,24,18,29,271,21-30,발로란트,70.0,종합 게임,30.0,,,2,true,multi_game,,sample_1_peak_10_50
커플레이 류빗,naverchzzk,cd92bff8bd1af1aac48e2e0a11250b2f,569,2.1,18,14,29,1047,16-20,미나 더 할로워,29.0,코어 키퍼,23.1,음악/노래,10.3,11,true,multi_game,,sample_1_peak_10_50
아리엘 본즈,naverchzzk,9b471d9f5b4de4eae9b06074b6214119,571,3.5,12,8,28,329,10-15,델타포스,79.9,포르자 호라이즌 6,9.4,종합 게임,3.5,9,false,single_game_or_non_game,,sample_1_peak_10_50
지타에몽,naverchzzk,ac91a25f9d7751d4c61863f2f837f792,572,0.6,50,47,28,3369,41-50,블루 아카이브,40.4,talk,32.9,종합 게임,9.1,8,false,single_game_or_non_game,,sample_1_peak_10_50
리나앤타냐,naverchzzk,c55f440fe8ac3f9adff6f2a27ec9876e,576,4.1,10,7,28,220,10-15,talk,57.3,그림/아트,18.2,종합 게임,12.9,6,false,talk_primary,,sample_1_peak_10_50
조민훈,naverchzzk,1c7b7019482efba3abfdc88aa6139f8f,577,5.6,10,5,28,2121,10-15,톰 클랜시의 더 디비전 2,51.8,마인크래프트,14.0,Grand Theft Auto V,6.2,24,false,single_game_or_non_game,,sample_1_peak_10_50
강혜니,naverchzzk,3de450db9060f3d8636dc8b7c7ae9ab5,580,4.4,10,6,28,181,10-15,로스트아크,67.2,종합 게임,15.2,talk,10.0,5,true,multi_game,,sample_1_peak_10_50
하이칼,naverchzzk,3081b4db8cb8b6c1de194b66a5b81a67,581,2,16,14,27,3097,16-20,PUBG: 배틀그라운드,34.9,talk,18.2,에코,13.1,12,false,single_game_or_non_game,,sample_1_peak_10_50
뮤이,naverchzzk,3b9aa1ea2394359ab8b291ea25525225,586,3.1,12,9,27,212,10-15,다크 소울 2,19.8,몬스터 헌터 와일즈,18.5,talk,14.3,16,true,multi_game,,sample_1_peak_10_50
감주하,naverchzzk,98a220ce7dfa57ccc453ec92740eeee8,587,4,10,7,27,1162,10-15,talk,51.0,발로란트,21.9,마인크래프트,10.5,10,false,talk_primary,,sample_1_peak_10_50
Curve7,naverchzzk,a6edb860c8527ec3e68839e59f554c99,588,4.1,10,7,27,230,10-15,talk,72.4,마인크래프트,9.5,그림/아트,5.9,14,false,talk_primary,,sample_1_peak_10_50
송도앞바다,naverchzzk,18f8f19e3088db449f8e8fbf25b9fb5f,590,4.6,10,6,27,116,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
사늑SaNuk,naverchzzk,8527d2b16d1b86e983a1f8edae36b537,592,2.1,17,13,27,874,16-20,talk,55.0,마인크래프트,21.5,종합 게임,7.5,13,false,talk_primary,,sample_1_peak_10_50
권조이,naverchzzk,c5427d9794d1220ba073c5ad5c0c7b5a,595,1.2,24,22,26,599,21-30,ELDEN RING 밤의 통치자,75.4,P의 거짓,14.6,talk,4.8,5,false,single_game_or_non_game,,sample_1_peak_10_50
네오리 Neori,naverchzzk,07665c7c871c47714c926e1aca7164ae,596,1.4,25,19,26,1362,21-30,메이플스토리 월드,54.1,talk,16.6,영화,13.1,9,false,single_game_or_non_game,,sample_1_peak_10_50
천수천수,naverchzzk,4231e028f04298354be53fd1e764f010,597,3.7,12,7,26,1214,10-15,리그 오브 레전드,54.1,마인크래프트,20.9,talk,15.5,6,true,multi_game,,sample_1_peak_10_50
unknown,naverchzzk,b4404637ad1effb360c24f507ea9bd77,599,1.3,25,20,26,777,21-30,그림/아트,76.4,친구모아 아일랜드 두근두근 라이프,12.7,talk,5.3,7,false,single_game_or_non_game,,sample_1_peak_10_50
unknown,naverchzzk,b41d0c5c107a68c4811a0b4671994fae,600,3,10,9,26,183,10-15,talk,68.6,슬레이 더 스파이어 2,6.5,리그 오브 레전드,5.2,14,false,talk_primary,,sample_1_peak_10_50
송이SongYi,naverchzzk,42dbca3dcdba361abf7a1217fa0b5e70,604,3.9,10,7,26,298,10-15,포르자 호라이즌 6,47.9,talk,36.3,피크,6.8,6,false,single_game_or_non_game,,sample_1_peak_10_50
티쿠고,naverchzzk,9284b042b06da94f435a6d20819d079b,607,4,10,6,26,113,10-15,종합 게임,30.4,프로젝트 좀보이드,20.2,윈드로즈,14.1,10,true,gg_primary,,sample_1_peak_10_50
갱생 이고르,naverchzzk,a570149e06db3475e563413716ce822c,608,2.7,14,9,25,253,10-15,명일방주,76.7,종합 게임,4.4,명조:워더링 웨이브,4.0,12,false,single_game_or_non_game,,sample_1_peak_10_50
냅도TV,naverchzzk,746cf36edf555daaffba15eb3d64e4d5,609,2.3,13,11,25,241,10-15,종합 게임,74.0,스트레이,7.6,백룸: 이스케이프 투게더,7.4,7,true,gg_primary,,sample_1_peak_10_50
별 별,naverchzzk,719af47454124e81195e4ec5b954941e,612,5.8,12,4,25,881,10-15,로스트아크,59.8,발로란트,21.8,마인크래프트,14.9,5,true,multi_game,,sample_1_peak_10_50
쿠뽀미,naverchzzk,73fc52c403eb3485524c02e1a0f2e623,614,1.2,25,21,25,2209,21-30,명조:워더링 웨이브,85.9,talk,7.1,리그 오브 레전드,4.5,6,false,single_game_dominant,,sample_1_peak_10_50
해찬 HAECHAN,naverchzzk,ce4d00f2541765740b3dc4fceb6727ae,615,2.1,15,12,25,158,10-15,리그 오브 레전드,92.2,마인크래프트,5.5,talk,1.5,5,false,single_game_dominant,,sample_1_peak_10_50
담쥬,naverchzzk,9c4d6af375e79095271e69b2b9942774,618,4.1,10,6,24,1397,10-15,철권 8,36.9,talk,20.0,PUBG: 배틀그라운드,17.9,11,true,multi_game,,sample_1_peak_10_50
셰 리 Sherry,naverchzzk,34d7bfe15a60b9aac81636863de9efd0,622,2.9,12,8,24,262,10-15,음악/노래,51.1,talk,19.9,산나비,19.3,4,true,multi_game,,sample_1_peak_10_50
미나ㅣMeeNa,naverchzzk,b03f799de762c83b0d96ca392136ac24,623,2.1,15,12,24,923,10-15,던전앤파이터,48.4,이터널 리턴,27.4,스타크래프트 : 리마스터,8.6,7,true,multi_game,,sample_1_peak_10_50
솔다미,naverchzzk,665f2eb596f838d9d5ab59c0a88ba6e8,624,2.3,15,10,24,454,10-15,PUBG: 배틀그라운드,90.4,종합 게임,4.9,오버워치,4.7,3,false,single_game_dominant,,sample_1_peak_10_50
델라 유니크,naverchzzk,14eab8ecbff32e5aa75252e4a54b560e,625,2.3,15,10,24,339,10-15,talk,26.7,음악/노래,25.0,그림/아트,14.9,9,false,single_game_or_non_game,,sample_1_peak_10_50
청예솔,naverchzzk,4052512f2144699acc25cabaa6780b1e,626,0.9,32,27,24,5123,31-40,talk,23.6,림월드,16.9,커맨드 앤 컨커: 레드 얼럿 3,11.0,19,false,single_game_or_non_game,,sample_1_peak_10_50
임달복,naverchzzk,10403144db4155d1de80b24a8e7e4c8b,629,4.1,10,6,24,115,10-15,리그 오브 레전드,50.6,talk,29.9,종합 게임,14.0,5,false,single_game_or_non_game,,sample_1_peak_10_50
카신,naverchzzk,fde2deb9f3be7f495d72f204d8b8f41a,630,4.9,10,5,23,96,10-15,로스트아크,39.0,GTFO,22.0,이스케이프 프롬 타르코프,12.4,9,true,multi_game,,sample_1_peak_10_50
적소체고다,naverchzzk,bd1dcaadbc663f732577a18d949cd3f8,631,2.6,12,9,23,257,10-15,종합 게임,29.1,talk,26.7,블루 프린스,14.2,9,true,gg_primary,,sample_1_peak_10_50
키령,naverchzzk,0cb2bbf24eec52ce0eca32a69215a106,632,2.4,15,10,23,561,10-15,로스트아크,95.4,림버스 컴퍼니,2.6,종합 게임,1.9,4,false,single_game_dominant,,sample_1_peak_10_50
세 희,naverchzzk,9882fe6092959ff9f29bd6c9e6e1c396,633,1.1,28,21,23,1792,21-30,메이플스토리 월드,49.2,talk,26.6,서브노티카 2,13.4,9,false,single_game_or_non_game,,sample_1_peak_10_50
엘핀 Elfin,naverchzzk,da0eb3b7f9e60f8a8db2ecdd9b2e47a3,634,3,12,8,23,413,10-15,로스트아크,40.4,메이플스토리,17.2,메이플스토리 월드,13.9,12,true,multi_game,,sample_1_peak_10_50
뿌닛 PPUNIT,naverchzzk,d19b09a7ae53b27342a3b504878b4bd0,636,5.5,10,4,23,870,10-15,패스 오브 엑자일 2,40.2,아이온2,21.1,에이펙스 레전드,14.2,12,true,multi_game,,sample_1_peak_10_50
동면쥐,naverchzzk,02d9ac209d66cce5966281d9659cea7a,638,2.3,15,10,23,615,10-15,talk,59.5,림월드,16.6,종합 게임,10.8,6,false,talk_primary,,sample_1_peak_10_50
킹코도,naverchzzk,08d50d8b580de6b3c53e93224765a706,639,1.6,20,14,23,1936,16-20,에코,29.9,스타크래프트 II : 공허의 유산,14.9,이터널 리턴,13.5,13,false,single_game_or_non_game,,sample_1_peak_10_50
최윤주,naverchzzk,beb86ff995f8e03eb2e24b49f2a30e8b,644,1.8,19,12,22,2058,16-20,오버워치,71.8,talk,18.4,종합 게임,6.9,6,false,single_game_or_non_game,,sample_1_peak_10_50
요이 YOE,naverchzzk,bee55f2cbeea57d3ec290e0eff90b5bf,649,1.2,22,18,22,1207,21-30,talk,48.2,마인크래프트,13.6,PUBG: 배틀그라운드,9.8,10,false,single_game_or_non_game,,sample_1_peak_10_50
비올레티,naverchzzk,07e0de57edd07350c8fca9c944513271,650,2.6,13,8,22,517,10-15,음악/노래,46.0,talk,11.0,종합 게임,8.7,14,false,single_game_or_non_game,,sample_1_peak_10_50
오별콩,naverchzzk,c55085778e35bb35c9d3a0ab472177f3,652,1.6,15,14,22,1171,10-15,로스트아크,54.0,명조:워더링 웨이브,15.5,talk,11.6,11,true,multi_game,,sample_1_peak_10_50
도르도누,naverchzzk,768fab1137737b25c8b2e3d2dcb3b065,653,2.3,13,9,22,648,10-15,마비노기 모바일,42.9,리그 오브 레전드,24.3,talk,5.9,10,true,multi_game,,sample_1_peak_10_50
김루아 KimLuA,naverchzzk,56bba50a0f6295935920863b5f4ccb9c,655,2.3,12,9,22,1283,10-15,talk,72.6,서브노티카 2,8.8,오버워치,6.9,7,false,talk_primary,,sample_1_peak_10_50
서 리아,naverchzzk,abcf5c832694ad4fd6547210ba317b3f,656,2.8,11,8,22,1644,10-15,리그 오브 레전드,36.0,talk,26.5,프랫폴,5.3,16,false,single_game_or_non_game,,sample_1_peak_10_50
김하린,naverchzzk,819880c16643e6d60b782c17dd3cae2d,661,2.1,13,10,21,114,10-15,talk,12.4,코어 키퍼,12.4,슈퍼 단간론파 2: 안녕히 절망학원,10.1,18,false,single_game_or_non_game,,sample_1_peak_10_50
해인 Haein,naverchzzk,a6ff44bbcd14bc5586e1e3ca70ebc279,662,1,28,21,21,3826,21-30,검은사막,84.3,talk,10.9,블루 아카이브,4.4,4,false,single_game_dominant,,sample_1_peak_10_50
삐 뇽,naverchzzk,ad9343966483268339b3c9958f0f1dc2,665,1.8,15,12,21,1562,10-15,발로란트,98.7,종합 게임,0.9,메이플스토리 월드,0.4,3,false,single_game_dominant,,sample_1_peak_10_50
리안S2,naverchzzk,e372b51ef071098df2a84598831ef926,666,2.5,11,8,21,401,10-15,talk,36.3,마인크래프트,28.9,래프트,11.0,12,false,single_game_or_non_game,,sample_1_peak_10_50
미아냥,naverchzzk,8c78750fd1445ec57a4cf6bdff5a4d5f,668,3,11,7,21,184,10-15,슬레이 더 스파이어 2,21.3,딩컴,19.7,이스케이프 프롬 타르코프,14.3,13,true,multi_game,,sample_1_peak_10_50
루나에 에리시아,naverchzzk,a1e8a76d16710cae478f14924373b893,670,2,13,11,21,170,10-15,종합 게임,53.3,talk,19.7,리그 오브 레전드,18.6,5,true,gg_primary,,sample_1_peak_10_50
리게뷰,naverchzzk,22d8826e1ca8d7c6ebece3f811e30c00,671,2.5,10,8,21,564,10-15,talk,42.9,이터널 리턴,14.3,서브노티카 2,10.4,11,false,single_game_or_non_game,,sample_1_peak_10_50
2판다,naverchzzk,ff7099c82e23867a8a4b67d5bbcea466,675,1.2,20,17,21,2540,16-20,talk,61.6,음악/노래,31.7,종합 게임,6.7,3,false,talk_primary,,sample_1_peak_10_50
화로활활,naverchzzk,f19e5e31f13e83d79bf1870e85c7df4d,676,3.1,10,7,21,125,10-15,음악/노래,45.3,talk,25.2,플래닛 주,23.4,4,true,multi_game,,sample_1_peak_10_50
도둑꾼,naverchzzk,dd4eee47b162f6dfbe64d72edd93cc83,678,1.8,14,12,21,169,10-15,오버워치,36.0,종합 게임,27.5,서브노티카 2,8.3,9,true,multi_game,,sample_1_peak_10_50
빵뚜씨,naverchzzk,71373a2a23bbcc45c0c27db60fd1e0a1,680,3.2,10,6,21,204,10-15,테일즈런너,53.6,카트라이더,16.0,이환,9.9,6,true,multi_game,,sample_1_peak_10_50
쭉쭉이0,naverchzzk,2e8bf74c2f666827d87cd5603ed46e3e,681,3.2,10,6,20,579,10-15,talk,42.3,윈드로즈,26.8,종합 게임,16.4,5,true,multi_game,,sample_1_peak_10_50
시언찡,naverchzzk,70d4c17a7420222f5a249b9e943e2ea8,683,1.4,17,15,20,991,16-20,talk,55.3,데드 바이 데이라이트,11.8,PUBG: 배틀그라운드,10.1,11,false,talk_primary,,sample_1_peak_10_50
파라쏠,naverchzzk,68daca14bebc804d56b3dc601c8e7aff,685,0.8,28,25,20,1898,21-30,마인크래프트,20.2,talk,16.1,림월드,13.5,16,false,single_game_or_non_game,,sample_1_peak_10_50
행복한코코,naverchzzk,104c9acbf30756945e1b387bd1c6f5b7,686,3.4,10,6,20,608,10-15,그림/아트,32.2,종합 게임,23.2,PUBG: 배틀그라운드,13.2,17,true,gg_secondary,,sample_1_peak_10_50
