content_id,sub_domain,lang,body_tokens,channel,sounding
27749ecc2dc92329,이미지 생성,en,133,1,1
279a82c4c71beaac,이미지 생성,en,78,1,1
27a198c9253ad3b2,미분류,en,11,1,1
27a8d4a13e63b036,미분류,mixed,68,1,1
27f87bb5b27bac51,미분류,ko,27,1,1
28091c6866e3ca9f,미분류,ko,31,1,1
2815e8d167062c51,단순 질문,mixed,170,1,3
281c67d4c382d618,미분류,en,44,1,1
28363844b046bab6,이미지 생성,en,47,1,1
286d7d051d6f7695,미분류,mixed,63,2,2
28758597b36b995c,미분류,ko,52,1,1
28a78251173c5375,미분류,mixed,22,1,1
28c0826650d2e2b9,게임/세계관,en,48,1,1
29068d25da5935e0,미분류,en,48,1,1
291d331c38d41b21,이미지 생성,en,69,1,1
292291ac03854a05,정리/포맷팅,ko,40,1,1
29564bcd23448678,정리/포맷팅,ko,110,1,2
298228f683c372ea,미분류,mixed,71,1,1
29a471170e208f8c,미분류,en,68,1,1
29df4e17e98d0049,미분류,mixed,68,1,1
29ed62bc82b70115,이미지 생성,mixed,102,1,1
2a4e41b467911732,이미지 생성,en,26,1,1
2a56674ef08ff661,미분류,en,19,1,1
2a5eb236ca6e7864,미분류,mixed,180,1,1
2a6295d36787ba91,미분류,ko,44,2,1
2a82a23800da02d9,미분류,en,12,1,1
2a968277700c1f76,미분류,ko,268,1,1
2aef3ae49e7442e5,이미지 생성,ko,128,1,1
2b6cbb33ef6d6ea1,미분류,mixed,141,2,2
2bb587087d1c1cd8,요리/건강/생활,ko,172,1,2
2be5bb149cae414d,이미지 생성,en,35,1,1
2c1b4c33047326ab,미분류,ko,54,1,1
2c2f7ece7c2bbc1d,미분류,en,13,1,1
2c455676032a8a32,미분류,en,87,1,1
2c5ca3776f7f0db5,이미지 생성,mixed,81,1,1
2c69a9a729e3247b,미분류,en,24,1,1
2c6b303c20a476c4,게임/세계관,mixed,62,1,1
2c78263c09dc82d1,마케팅/광고,ko,95,1,2
2c861bdf58be54ea,단순 질문,ko,36,1,1
2cd6975cc792b118,요리/건강/생활,ko,76,1,1
2ce5dd7a0ef9fba2,미분류,ko,63,1,2
2d017302b12463f3,미분류,en,16,1,1
2d50b47408814983,여행/문화/추천,ko,149,1,1
2d6362c0b2362b51,미분류,ko,70,3,1
2da3c55e4d3719f0,미분류,ko,49,1,1
2dcf9f198aa3d235,미분류,ko,55,1,1
2ddbd491d8d8dd53,마케팅/광고,mixed,143,1,1
2e79fb0e8a8b527d,이미지 생성,en,80,1,1
2ee557d8b31c8abe,미분류,mixed,75,1,1
2f563043150b77ea,정리/포맷팅,ko,44,1,1
2f6d410a1770fd86,이미지 생성,en,37,1,1
2f6d6a79eb692208,단순 질문,en,23,1,1
